time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance
23552,68,-6.055778620000001,60.0,46,345,450,0.0008285891683044611,-2.259636661410332,0.1404296875,0.2,0.0003,0.014401817,-0.02154314749641344,-0.24035926163196564,0.9840844087302685
24064,68,-6.03469736,60.0,47,353,460,0.0004934409407724161,-2.2533618927001955,0.0546875,0.2,0.0003,0.008399132,-0.013606155733577907,-0.2567788064479828,0.9897060375660658
24576,68,-6.0528882699999995,60.0,48,360,470,0.000868237714166753,-2.2297809332609178,0.058984375,0.2,0.0003,0.0099566765,-0.015555942920036614,-0.23852865397930145,0.9832836166024208
25088,68,-6.07151523,60.0,49,368,480,0.052377023827284576,-2.275492823123932,0.226953125,0.2,0.0003,0.017396558,-0.0161132832756266,-0.22911517322063446,0.5665527582168579
25600,68,-6.070267599999998,60.0,50,375,490,0.04301882670843042,-2.27810500562191,0.119921875,0.2,0.0003,0.007775821,-0.01937709791236557,-0.2247476726770401,0.5852898061275482
26112,68,-6.050124549999998,60.0,51,383,500,0.001981312106363475,-2.3187453538179397,0.1037109375,0.2,0.0003,0.012671802,-0.011439135653199628,-0.279830664396286,0.962761577218771
26624,68,-6.04752081,60.0,52,390,510,0.0024377344685490242,-2.310285452008247,0.150390625,0.2,0.0003,0.0128746275,-0.021272597758797928,-0.24196411669254303,0.951080709695816
27136,68,-6.1080459199999995,60.0,53,398,520,0.10576187882106751,-2.286176270246506,0.1130859375,0.2,0.0003,0.012076147,-0.019681605417281388,-0.21768316626548767,0.4178922176361084
27648,68,-6.108650690000001,60.0,54,406,530,0.05806884357007221,-2.2756185054779055,0.120703125,0.2,0.0003,0.0112410225,-0.02337722327793017,-0.24809080362319946,0.6511601507663727
28160,68,-6.092109220000001,60.0,55,413,540,0.005934071147930808,-2.3121103435754775,0.1509765625,0.2,0.0003,0.016135797,-0.017732824850827455,-0.24965861439704895,0.8874632641673088
28672,68,-6.1157660499999995,60.0,56,420,550,0.00331730401085224,-2.3092495918273928,0.0818359375,0.2,0.0003,0.011305007,-0.01683613519417122,-0.2587519586086273,0.9371685981750488
29184,68,-6.136288679999999,60.0,57,428,560,0.03963183079904411,-2.30693661570549,0.0568359375,0.2,0.0003,0.012269154,-0.013228389184223487,-0.23125934600830078,0.6317398846149445
29696,68,-6.15651628,60.0,58,435,570,0.03653748977230862,-2.334317171573639,0.1521484375,0.2,0.0003,0.014161475,-0.01772501497762278,-0.2473301887512207,0.6015421748161316
30208,68,-6.198806630000002,60.0,59,443,580,0.04988936111913063,-2.349958547949791,0.046875,0.2,0.0003,0.008406043,-0.008387267637590411,-0.20261305570602417,0.6435401737689972
30720,68,-6.2021212000000014,60.0,60,451,590,0.14531732606701553,-2.3548346638679503,0.1791015625,0.2,0.0003,0.016386874,-0.025504391302820294,-0.22382473945617676,0.5133149921894073
31232,68,-6.203385630000001,60.0,61,458,600,0.008029605195042677,-2.351145365834236,0.112109375,0.2,0.0003,0.011317136,-0.019047139107715338,-0.27567288279533386,0.8607075661420822
31744,68,-6.216869229999999,60.0,62,466,610,0.0034590241179103033,-2.3431864827871323,0.1083984375,0.2,0.0003,0.012271058,-0.019939728162717073,-0.24218878149986267,0.9255882874131203
32256,68,-6.2175675099999985,60.0,63,473,620,0.06479456495726481,-2.3517907083034517,0.109375,0.2,0.0003,0.011914073,-0.014470763492863626,-0.21472381055355072,0.39792513847351074
32768,68,-6.178903979999998,60.0,64,480,630,0.003216457908274606,-2.3390922069549562,0.1298828125,0.2,0.0003,0.01310328,-0.0169053639867343,-0.252934992313385,0.9276750758290291
33280,68,-6.15958254,60.0,65,488,640,0.001343537770299008,-2.3205864280462265,0.0908203125,0.2,0.0003,0.010827741,-0.014777764969039708,-0.23843491077423096,0.9738675784319639
33792,68,-6.17915736,60.0,66,495,650,0.0008627050377981504,-2.326508828997612,0.159375,0.2,0.0003,0.015413763,-0.023498667898820713,-0.27847781777381897,0.9799930695444345
34304,68,-6.239068250000002,60.0,67,502,660,0.10036222154740244,-2.329662689566612,0.1546875,0.2,0.0003,0.013733993,-0.024120265827514233,-0.22756627202033997,0.468117892742157
34816,68,-6.22154856,60.0,68,511,670,0.1007361552445218,-2.3360410749912264,0.031640625,0.2,0.0003,0.008038857,-0.010592095844913274,-0.20202523469924927,0.5788355767726898
35328,68,-6.222839329999999,60.0,69,518,680,0.05333816563943401,-2.3398810416460036,0.052734375,0.2,0.0003,0.010711455,-0.0118791640677955,-0.2356218695640564,0.6596395075321198
35840,68,-6.24410079,60.0,70,525,690,0.04505823614308611,-2.342309167981148,0.080859375,0.2,0.0003,0.012632325,-0.016683927064877934,-0.1980859637260437,0.7489372193813324
36352,68,-6.16593316,60.0,71,533,700,0.056957310251891616,-2.3238432198762893,0.16171875,0.2,0.0003,0.014434994,-0.021886530314804985,-0.21812190115451813,0.5914677679538727
36864,68,-6.16584982,60.0,72,540,710,0.0027262698698905297,-2.3054831236600877,0.1173828125,0.2,0.0003,0.013313873,-0.024369490472599863,-0.23225389420986176,0.9455366656184196
37376,68,-6.16618287,60.0,73,548,720,0.002346453256905079,-2.291947290301323,0.0701171875,0.2,0.0003,0.009797782,-0.014716070017311723,-0.2515985071659088,0.9442944154143333
37888,68,-6.150556639999999,60.0,74,555,730,0.002731393731664866,-2.286378487944603,0.082421875,0.2,0.0003,0.011177864,-0.013646806962788105,-0.24377284944057465,0.9217334166169167
38400,68,-6.167874200000001,60.0,75,564,740,0.0027017801767215133,-2.2706675708293913,0.108203125,0.2,0.0003,0.012133005,-0.022048353939317165,-0.24143466353416443,0.9245909824967384
38912,68,-6.167763779999999,60.0,76,571,750,0.04971461857203394,-2.274200674891472,0.166796875,0.2,0.0003,0.014652929,-0.019335008412599563,-0.23558780550956726,0.6216617524623871
39424,68,-6.1871877600000005,60.0,77,579,760,0.003543246521439869,-2.289156624674797,0.1673828125,0.2,0.0003,0.014893927,-0.019128216616809367,-0.2542230188846588,0.9235274493694305
39936,68,-6.1484499999999995,60.0,78,586,770,0.045018139918101954,-2.3071325331926347,0.050390625,0.2,0.0003,0.011138558,-0.008880986092844979,-0.22991836071014404,0.4260558485984802
40448,68,-6.107803889999999,60.0,79,593,780,0.005492574500385672,-2.3446071237325667,0.07578125,0.2,0.0003,0.01045327,-0.013124373607570305,-0.2450617253780365,0.8213483840227127
