rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/approx_kl,train/n_updates
59.8,20992,41,355,-6.555362649999999,58,-0.023915860801935196,-0.011189697554800659,0.0003,0.7733882516622543,0.0537109375,0.2,0.024954094539862127,-1.7351013541221618,0.009034344,400
60.0,21504,42,364,-6.704999259999999,58,0.00012790411710739136,-0.016338541213190182,0.0003,0.7605790048837662,0.1169921875,0.2,0.044689722196199,-1.6061142399907111,0.010539988,410
60.0,22016,43,373,-6.707262199999999,58,0.020144006237387657,-0.010546034906292334,0.0003,0.6314794719219208,0.041015625,0.2,0.08932677311822772,-1.63279527425766,0.0067899665,420
60.0,22528,44,382,-6.705171929999999,58,-0.007664182223379612,-0.015192054794169962,0.0003,0.6329121291637421,0.0671875,0.2,0.03388950985390693,-1.5307102024555206,0.011231029,430
60.0,23040,45,391,-6.651832799999999,58,0.012824539095163345,-0.01976528778905049,0.0003,0.6002742648124695,0.123828125,0.2,0.07013093405403197,-1.41118326485157,0.011766082,440
60.0,23552,46,400,-6.580464439999999,58,-0.00926830992102623,-0.015916660003131255,0.0003,0.7075955271720886,0.0890625,0.2,0.04193071622867137,-1.6429854422807693,0.011755561,450
60.0,24064,47,408,-6.51609816,58,0.0015464648604393005,-0.012454451248049735,0.0003,0.6250638067722321,0.0794921875,0.2,0.052631725650280715,-1.4898991271853448,0.0079804715,460
60.0,24576,48,417,-6.55364338,58,-0.01365245133638382,-0.012210071959998459,0.0003,0.620314359664917,0.0412109375,0.2,0.05098496596328914,-1.4194928422570228,0.009169621,470
60.0,25088,49,426,-6.515145799999999,58,-0.0020234324038028717,-0.022439406160265206,0.0003,0.6036423742771149,0.123828125,0.2,0.07385782464407384,-1.452692522108555,0.011792956,480
60.0,25600,50,435,-6.537543729999999,58,-0.013921031728386879,-0.016426021268125625,0.0003,0.6136492490768433,0.1138671875,0.2,0.0653246542904526,-1.4971801891922951,0.010361625,490
60.0,26112,51,443,-6.52840743,58,-0.02000371180474758,-0.013474205322563649,0.0003,0.8092752248048782,0.0681640625,0.2,0.047384720179252326,-1.682871660590172,0.0070053493,500
60.0,26624,52,452,-6.5763181699999995,58,-0.03324843943119049,-0.021120634104590863,0.0003,0.8176926970481873,0.15625,0.2,0.030924825533293187,-1.6669885411858558,0.02486241,510
60.0,27136,53,463,-6.54624771,58,-0.01641729846596718,-0.020957557496149092,0.0003,0.6212917268276215,0.1041015625,0.2,0.11862859753891826,-1.6535817489027977,0.010501873,520
60.0,27648,54,471,-6.504852359999998,58,0.009735757485032082,-0.019832017098087816,0.0003,0.6405147016048431,0.1392578125,0.2,0.060183992306701836,-1.7915614068508148,0.016554678,530
60.0,28160,55,480,-6.555621650000002,58,-0.005490178242325783,-0.019407302397303282,0.0003,0.7394487261772156,0.1568359375,0.2,0.03628896593581885,-1.6907104089856149,0.015509337,540
60.0,28672,56,489,-6.607418710000001,58,0.0019352231174707413,-0.012264439166756347,0.0003,0.872583881020546,0.1251953125,0.2,0.028616349003277718,-1.6448286086320878,0.0143011175,550
60.0,29184,57,498,-6.617863770000001,58,-0.000337354838848114,-0.008319892635336145,0.0003,0.742514967918396,0.060546875,0.2,0.04321510321460664,-1.6043853491544724,0.0072154575,560
60.0,29696,58,507,-6.661380800000001,58,-0.014857370406389236,-0.018465107202064245,0.0003,0.6591969728469849,0.078515625,0.2,0.0498267043964006,-1.7312632709741593,0.011284279,570
60.0,30208,59,516,-6.688482819999998,58,0.00672578439116478,-0.013088533491827547,0.0003,0.8114805370569229,0.0794921875,0.2,0.030189039185643196,-1.5820638969540597,0.008986369,580
60.0,30720,60,526,-6.618235080000001,58,-0.008665848523378372,-0.010895380307920277,0.0003,0.7673079371452332,0.053125,0.2,0.03651543071027845,-1.5261503994464873,0.010828722,590
60.0,31232,61,535,-6.66472478,58,0.021091634407639503,-0.008573998219799251,0.0003,0.7318123579025269,0.049609375,0.2,0.06725165783427656,-1.3884166672825813,0.007044225,600
60.0,31744,62,543,-6.6472598,58,0.008582785725593567,-0.012590218492550775,0.0003,0.602988064289093,0.0697265625,0.2,0.07436366742476822,-1.4695590883493423,0.010086704,610
60.0,32256,63,552,-6.62896056,58,-0.0017675012350082397,-0.014003374200547114,0.0003,0.7758104205131531,0.0912109375,0.2,0.045847146213054656,-1.400457701086998,0.008982084,620
60.0,32768,64,561,-6.625783330000001,58,-0.019527951255440712,-0.011400601029163227,0.0003,0.8732157200574875,0.0482421875,0.2,0.014785243372898549,-1.6092780649662017,0.01013568,630
60.0,33280,65,570,-6.68777567,58,-0.00031172484159469604,-0.014437231025658548,0.0003,0.8538116812705994,0.087890625,0.2,0.02995650579687208,-1.5123449623584748,0.008995909,640
60.0,33792,66,579,-6.75274263,58,0.0019412152469158173,-0.011438815318979324,0.0003,0.6641374230384827,0.07421875,0.2,0.06791954506188631,-1.529182569682598,0.008633224,650
60.0,34304,67,588,-6.75235839,58,-0.0414566695690155,-0.0165820317750331,0.0003,0.8958870097994804,0.105078125,0.2,0.01996461134403944,-1.501512597501278,0.0115862135,660
60.0,34816,68,599,-6.7603873199999995,58,0.05157722160220146,-0.015151957690250129,0.0003,0.531639814376831,0.0822265625,0.2,0.09435123042203486,-1.4727063477039337,0.011313013,670
60.0,35328,69,608,-6.771817669999998,58,0.012333313003182411,-0.012567694467725233,0.0003,0.5241690278053284,0.049609375,0.2,0.07405548797687515,-1.4873263597488404,0.007558273,680
60.0,35840,70,616,-6.69320599,58,-0.01917538419365883,-0.015736946021206677,0.0003,0.79950051009655,0.087109375,0.2,0.033155236148741093,-1.4864784628152847,0.007878733,690
60.0,36352,71,625,-6.737845429999998,58,0.018535321578383446,-0.012245591526152566,0.0003,0.7384594976902008,0.09921875,0.2,0.050389111251570286,-1.1664559438824653,0.013758775,700
60.0,36864,72,635,-6.737766620000001,58,0.010327906347811222,-0.018740195559803396,0.0003,0.9025862216949463,0.0947265625,0.2,0.017122899636160583,-1.5138798475265502,0.011374702,710
60.0,37376,73,644,-6.72326457,57,-0.013042539358139038,-0.011751440446823835,0.0003,0.794624462723732,0.0796875,0.2,0.03566978683229536,-1.3265314087271691,0.0067961635,720
60.0,37888,74,653,-6.703550560000001,57,0.007439439184963703,-0.012574427947402,0.0003,0.8303076028823853,0.08359375,0.2,0.043677940894849596,-1.1312925584614277,0.011423895,730
60.0,38400,75,664,-6.726612369999999,57,-0.002558823674917221,-0.011495878343703225,0.0003,0.8875442147254944,0.0943359375,0.2,0.03923157908720896,-1.2027205035090447,0.007809083,740
60.0,38912,76,674,-6.717052909999999,57,-0.01061531063169241,-0.016156881145434454,0.0003,0.6629065275192261,0.0884765625,0.2,0.06800482778344304,-1.197287981212139,0.008968301,750
60.0,39424,77,683,-6.70099836,57,0.010164446197450161,-0.01439187953947112,0.0003,0.8879804015159607,0.1001953125,0.2,0.023756319109816106,-1.2626253724098206,0.010129867,760
60.0,39936,78,691,-6.647770029999999,57,0.00018215365707874298,-0.014544297987595201,0.0003,0.8815718665719032,0.0765625,0.2,0.027951555722393096,-1.3404904648661613,0.014335017,770
60.0,40448,79,700,-6.60618646,57,-0.011926617473363876,-0.010841778060421348,0.0003,0.8468754589557648,0.0517578125,0.2,0.023087323282379658,-1.1889768838882446,0.00727674,780
60.0,40960,80,710,-6.55389403,57,0.01795104518532753,-0.0078173555288231,0.0003,0.8436539322137833,0.0408203125,0.2,0.03116209350991994,-1.1194039776921272,0.0055948785,790
60.0,41472,81,719,-6.580155899999999,57,-0.02941584587097168,-0.013565825839759783,0.0003,0.9247240424156189,0.0693359375,0.2,0.011275622036191636,-1.239947009086609,0.007508763,800
60.0,41984,82,728,-6.55687906,57,-0.0024377387017011642,-0.022914136032341048,0.0003,0.7175940275192261,0.2466796875,0.2,0.06629185283090919,-1.1537891417741775,0.017470054,810
60.0,42496,83,737,-6.486820280000001,57,-0.012232255190610886,-0.011658265418373049,0.0003,0.795292317867279,0.0474609375,0.2,0.033729366050101815,-0.9151445753872395,0.0052948147,820
60.0,43008,84,746,-6.48562881,57,-0.0045120250433683395,-0.009027251118095592,0.0003,0.7288583219051361,0.053125,0.2,0.04336117757484317,-0.8728624455630779,0.0053008897,830
60.0,43520,85,755,-6.50354317,57,-4.133209586143494e-06,-0.008785018674097955,0.0003,0.8084775805473328,0.059375,0.2,0.03718656508717686,-1.0711340442299844,0.0047017056,840
60.0,44032,86,764,-6.5375317,57,0.006372667849063873,-0.007624576316447929,0.0003,0.7953141629695892,0.030859375,0.2,0.0400006499607116,-0.9835722230374813,0.0057804896,850
60.0,44544,87,773,-6.50951989,57,0.014928122982382774,-0.010367681755451486,0.0003,0.8045511692762375,0.0732421875,0.2,0.02448902203468606,-1.1549499675631523,0.0077253706,860
60.0,45056,88,783,-6.4913855,57,-0.018700750544667244,-0.012415777408750727,0.0003,0.9228404238820076,0.06875,0.2,0.012791030487278476,-0.970346150547266,0.0060312087,870
60.0,45568,89,791,-6.456077430000001,57,-0.00910867564380169,-0.006766314915148541,0.0003,0.9135788530111313,0.0498046875,0.2,0.014106319466372952,-1.124746911972761,0.0055534197,880
60.0,46080,90,801,-6.4386380800000005,57,0.010737299919128418,-0.007169414358213544,0.0003,0.802890345454216,0.026953125,0.2,0.03873029372189194,-0.8865557692945003,0.003505494,890
60.0,46592,91,810,-6.461576860000001,57,-0.007541962433606386,-0.012663275795057416,0.0003,0.8996909558773041,0.0703125,0.2,0.022088403836824,-0.8646717466413975,0.0061381985,900
60.0,47104,92,819,-6.432305069999999,57,-0.0195754561573267,-0.01439186075294856,0.0003,0.8318156450986862,0.08515625,0.2,0.022831221704836934,-1.2175686329603195,0.008114068,910
60.0,47616,93,828,-6.462814650000001,57,1.4491379261016846e-05,-0.01098620422417298,0.0003,0.7908874899148941,0.0626953125,0.2,0.03210616344586015,-1.0236824482679368,0.009366818,920
60.0,48128,94,840,-6.520928009999999,57,-0.031817153096199036,-0.012073682551272214,0.0003,0.8554595112800598,0.0494140625,0.2,0.02329156791092828,-0.7921671390533447,0.005342699,930
60.0,48640,95,850,-6.59515406,57,0.00035398826003074646,-0.012176114763133229,0.0003,0.6731729209423065,0.0302734375,0.2,0.08508841840084642,-0.636508959159255,0.003454212,940
60.0,49152,96,860,-6.58940004,57,-0.01129966601729393,-0.012220712099224328,0.0003,0.7557379305362701,0.0771484375,0.2,0.04687843236606568,-0.8256029412150383,0.007953078,950
60.0,49664,97,869,-6.60309891,57,-0.02974635362625122,-0.01291039454517886,0.0003,0.8692751675844193,0.0421875,0.2,0.01432114167837426,-1.0201305724680423,0.00482001,960
60.0,50176,98,880,-6.599705359999999,57,-0.006426096893846989,-0.006922869465779513,0.0003,0.8677633553743362,0.0396484375,0.2,0.02740052229491994,-0.8327093407511711,0.0059753577,970
60.0,50688,99,889,-6.606599260000001,56,-0.025784756988286972,-0.01158809352782555,0.0003,0.8702995628118515,0.05859375,0.2,0.028811049705836922,-0.8479608967900276,0.0077697644,980
60.0,51200,100,898,-6.561777730000002,56,-0.032085590064525604,-0.013200141733977943,0.0003,0.8252959698438644,0.0822265625,0.2,0.03645933724474162,-0.7827115401625633,0.008403685,990
60.0,51712,101,907,-6.552891200000001,56,-0.002035565674304962,-0.007980797757045365,0.0003,0.4916543960571289,0.0576171875,0.2,0.04731806931085884,-0.8062477871775627,0.008976974,1000
60.0,52224,102,917,-6.541901580000001,56,-2.030283212661743e-06,-0.009748661716002971,0.0003,0.8176055401563644,0.0638671875,0.2,0.03196682498091832,-0.5870127208530903,0.0052242205,1010
