rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/clip_range
2.25,2,7.513238809999999,18672,105,53760,1040,0.0003,10.842840993404389,0.5751515626907349,-1.985138586163521,-0.012557604984613136,0.006431073,0.042578125,5.347821235656738,0.2
4.23,2,6.111717120000001,18793,106,54272,1050,0.0003,14.39178768992424,0.5084369778633118,-1.737593151628971,-0.015459320548688992,0.009002582,0.0595703125,4.960806846618652,0.2
2.09,2,6.829440840000001,18936,107,54784,1060,0.0003,12.783599358797073,0.650467574596405,-1.959520660340786,-0.020028450770769268,0.009641603,0.08984375,4.0896077156066895,0.2
3.13,2,6.71071909,19090,108,55296,1070,0.0003,12.754890704154969,0.6409171223640442,-1.8154957115650177,-0.015755985205760225,0.009178442,0.040234375,4.046463966369629,0.2
2.82,2,6.71826988,19252,109,55808,1080,0.0003,14.778653919696808,0.655451089143753,-1.85729960501194,-0.008308333985041827,0.008657046,0.0638671875,8.287930488586426,0.2
4.08,2,6.4876256,19360,110,56320,1090,0.0003,20.258501052856445,0.45446503162384033,-1.8130496859550476,-0.01476795033668168,0.00826299,0.046875,10.975850105285645,0.2
6.11,2,5.374860940000001,19459,111,56832,1100,0.0003,18.136857628822327,0.47671937942504883,-1.9460633873939515,-0.012397409015102312,0.008062193,0.0556640625,11.220100402832031,0.2
4.17,2,6.1309324300000005,19584,112,57344,1110,0.0003,7.383457440137863,0.6861868798732758,-2.084361968934536,-0.022863739088643344,0.011639253,0.10859375,3.596216917037964,0.2
2.44,2,6.8114810199999996,19742,113,57856,1120,0.0003,27.069542008638383,0.28915083408355713,-1.9662927255034446,-0.02185994329629466,0.019046055,0.1474609375,17.18011474609375,0.2
3.5,2,6.1568438500000005,19870,114,58368,1130,0.0003,7.38543622046709,0.6755388975143433,-1.7133053228259087,-0.01413105609244667,0.0077725747,0.05859375,1.6491100788116455,0.2
2.39,2,7.190114269999998,20027,115,58880,1140,0.0003,18.68581767678261,0.4556354880332947,-1.9387353286147118,-0.0122495626215823,0.0074279904,0.03984375,8.651329040527344,0.2
