r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps
7.194443,1,19814.302723,True,True,0.0053313898462985,4.911369996766123,58072
2.785727,3,19814.306064,True,True,0.0017885670872422,12.627089303292465,58075
7.536768,1,19815.567286,True,True,1.0099912346482778e-10,4.2877124842347705,58076
9.908106,1,19815.569639,True,True,1.0557650791585919e-10,0.0025677711877923,58077
3.995231,1,19816.893989,True,True,0.001973455925697,10.681404225762652,58078
8.280003,1,19818.149318,True,True,1.1776367763016582e-10,2.944936100388615,58079
3.674991,1,19819.437097,True,True,0.0006752219554459,11.25468135706999,58080
4.202473,1,19820.727716,True,True,4.26938749316316e-05,10.306052101701903,58081
4.154809,5,19821.920441,True,True,0.0023466109168277,9.42335379005947,58086
7.445366,2,19823.243627,True,True,0.005954246497358,4.462011816081279,58088
5.155558,2,19824.809221,True,True,9.618812310532849e-11,8.451927519816522,58090
9.115642,1,19824.812649,True,True,0.0060319448542508,1.442048938215557,58091
9.769332,2,19826.722589,True,True,0.0011613609609485,1.1219918684261894,58093
9.560506,1,19828.268358,True,True,0.001138328805215,0.6328678740976122,58094
9.112242,1,19829.546587,True,True,0.0048589238486321,1.4479104485502905,58095
4.388518,4,19830.862601,True,True,0.0010901353913453,8.31496682013008,58099
3.905644,8,19830.873921,True,True,4.266982337352468e-11,7.428466309785308,58107
8.925997,1,19832.222472,True,True,0.0005704565377906,1.7785711495038958,58108
7.571298,1,19832.230809,True,True,0.0004411775752141,4.225851425815042,58109
9.736904,1,19833.59381,True,True,2.439550405456644e-11,0.3090916502493828,58110
8.287683,2,19834.766549,True,True,0.0004181055459751,2.775678641007542,58112
6.294522,1,19834.767211,True,True,0.0006442068987217,6.531251775487036,58113
5.257363,1,19836.190815,True,True,0.0095645582546654,8.410291399361975,58114
9.06428,1,19836.203236,True,True,0.0061521315483293,1.5314594707662033,58115
6.19587,1,19837.650061,True,True,6.189241827381231e-13,6.705057559167752,58116
4.434796,2,19838.908344,True,True,0.0006247991224582,9.620247271909296,58118
9.744738,1,19838.916993,True,True,0.0013481612473666,0.300169376029975,58119
6.650733,4,19840.387245,True,True,0.0023574929515264,6.116405427551831,58123
7.986117,2,19841.719529,True,True,3.2024333601610167e-09,3.3254926842592405,58125
7.056457,2,19842.999207,True,True,0.0042284994704338,4.468810277674685,58127
8.302211,1,19844.298065,True,True,0.0029803099196987,2.908058565243228,58128
9.908582,1,19845.456288,True,True,9.322715689707992e-10,0.0025623919163966,58129
-27.757372,60,19846.764449,False,True,0.0400425433080428,15.60093494261977,58189
7.591201,1,19848.012125,True,True,0.0031753087625852,4.192145693989183,58190
7.656288,3,19848.016036,True,True,0.0004462665613486,3.940317098772276,58193
6.612766,2,19849.415266,True,True,2.7329752697036186e-10,5.857023498484513,58195
8.246873,1,19850.776907,True,True,3.214252614069934e-10,3.000001099508719,58196
8.264355,4,19852.22769,True,True,0.0028536220237503,1.6197881875318954,58200
9.457048,1,19853.536423,True,True,0.0041354944854663,0.8241329891730234,58201
4.039636,3,19854.838893,True,True,0.0002211685593402,10.0670684440003,58204
7.313655,1,19855.978234,True,True,0.0017756497209425,4.692313553790216,58205
9.174395,1,19857.224224,True,True,0.0012267338048601,1.329187627567858,58206
8.176937,1,19858.565419,True,True,0.0001721794754491,3.129668323846673,58207
7.103257,1,19859.833854,True,True,0.0045906247459682,5.075246909363488,58208
2.944113,1,19861.095803,True,True,0.0009990275045663,12.57664188821676,58209
7.602315,1,19862.42106,True,True,0.0061156979154338,4.175184055921213,58210
5.096338,1,19863.718008,True,True,2.958675239087688e-06,8.69317422914851,58211
8.524534,1,19865.022343,True,True,0.002984625762712,2.5027776526948906,58212
-17.477912,60,19866.351151,False,True,0.0182784835883817,2.766070194598361,58272
2.069641,3,19866.353146,True,True,0.0040729991490879,14.223667817839573,58275
8.486521,1,19867.759673,True,True,0.0034021608348778,2.5762473516556463,58276
7.058987,1,19868.95842,True,True,0.0025644650089303,5.153140518682572,58277
8.530452,2,19868.96042,True,True,0.0033793304489229,1.359016177933123,58279
7.674047,1,19870.275229,True,True,0.0045822722833317,4.043517028706609,58280
3.125508,2,19871.610543,True,True,0.0006063456479922,12.123814260754807,58282
6.673028,1,19871.616539,True,True,0.0054051248848105,5.849597172582397,58283
9.075879,1,19872.911947,True,True,4.584760449302043e-11,1.5004789843522346,58284
8.592966,2,19874.237937,True,True,6.27230210368682e-11,2.33770324157289,58286
7.120157,2,19875.545233,True,True,0.0025740122265606,4.900873124068751,58288
8.259361,1,19875.549229,True,True,0.0001478512301758,2.980755182753743,58289
9.594483,1,19876.963932,True,True,0.0003564091928342,0.5707776388869659,58290
7.890817,2,19878.303593,True,True,1.8077761277630447e-10,3.427959653474895,58292
9.143079,1,19878.308629,True,True,0.0012189816273801,1.3876407344844728,58293
9.906894,1,19880.555635,True,True,1.3268632781383084e-10,0.0025700182212031,58294
7.037009,1,19881.773235,True,True,0.0007328778375753,5.1909264258564844,58295
8.953529,2,19881.777225,True,True,0.0019802982313281,1.2582167079562736,58297
4.625345,2,19883.148323,True,True,0.0038770094325639,9.260515670078446,58299
7.82654,3,19884.444295,True,True,0.0022532507960414,2.648565652757364,58302
2.821279,5,19884.444685,True,True,0.0024920187380443,12.268035814356685,58307
9.86264,1,19885.809563,True,True,5.285186876185458e-05,0.0856824561412652,58308
7.417636,1,19887.1045,True,True,0.0021506068015705,4.504360462063909,58309
8.247545,1,19888.411219,True,True,1.6422890190072486e-11,3.000008596514996,58310
2.834266,4,19889.622206,True,True,0.0031408783248226,12.23411049611485,58314
8.797667,2,19890.778103,True,True,0.0045502377586005,0.9331320672671686,58316
8.348832,1,19890.782103,True,True,7.492050971432778e-11,2.819676606639744,58317
7.863328,1,19892.092125,True,True,0.0013855054219901,3.699283732611841,58318
8.739473,2,19893.381464,True,True,0.0002845956617885,2.2672332550853254,58320
9.908581,1,19893.381467,True,True,3.1014734053549925e-10,0.0025641833232474,58321
6.251859,1,19894.761791,True,True,0.0005195681204737,6.607849505067901,58322
8.271793,1,19894.770267,True,True,4.286734370251288e-10,2.959881720467529,58323
-27.598056,60,19896.275048,False,True,0.0187072688241195,15.15279047983582,58383
5.527078,1,19896.281388,True,True,0.0020255851025878,7.917638686270831,58384
8.248624,1,19896.288379,True,True,2.3350867181696918e-11,3.000044469812671,58385
5.224474,1,19897.731697,True,True,0.0002253406543628,8.462137606693828,58386
8.475341,1,19897.733036,True,True,0.0115088079170285,2.6048550607108734,58387
7.166212,1,19897.741467,True,True,0.0055774263909733,4.959739418193614,58388
4.337141,1,19899.235871,True,True,8.532320286754199e-05,10.063120746511588,58389
8.840225,2,19900.502309,True,True,0.007688111799462,1.8716769648942229,58391
6.956791,3,19901.752603,True,True,7.965984804424696e-05,4.488841925278947,58394
9.908126,1,19902.916863,True,True,2.9974427240967713e-09,0.0025627810449121,58395
7.947249,5,19902.917165,True,True,0.000476516057371,3.040924354810484,58400
9.882423,1,19904.252569,True,True,0.0001071714414895,0.0451625679215632,58401
3.502921,1,19905.501366,True,True,0.0044615050526136,11.57115162466792,58402
7.995509,1,19906.652031,True,True,0.0006354506959887,3.4595927242554483,58403
8.683084,5,19907.907207,True,True,0.0011499064482952,2.087508851924711,58408
3.246919,4,19909.144044,True,True,0.0008897609677867,10.537680771968516,58412
8.588857,2,19909.145382,True,True,0.0046724546370051,2.0429495336965067,58414
-12.891441,60,19909.146386,False,True,0.011750955887803,18.981851486284928,58474
8.249204,1,19910.521791,True,True,3.304061769285372e-06,3.0009717754183387,58475
4.153511,1,19910.529377,True,True,3.40871885145394e-09,10.394351375223884,58476
8.236525,1,19910.537927,True,True,0.0003530898128948,3.0242962441709507,58477
7.834702,1,19911.85307,True,True,0.0011801331680458,3.7503934835600767,58478
9.543292,2,19913.157502,True,True,0.0012582419971836,0.2316848469491992,58480
8.036921,2,19913.162526,True,True,0.0034264535583702,2.208114941930166,58482
9.054703,1,19913.172832,True,True,0.000246440399615,1.546051150591627,58483
6.780719,1,19914.650583,True,True,0.006313485673644,5.656331404832142,58484
2.811418,3,19916.082392,True,True,0.0053118121896118,9.65326283663239,58487
7.218955,2,19916.085051,True,True,4.159789028754936e-10,4.239508805915543,58489
7.786645,1,19917.68387,True,True,0.0042502439562191,3.837388548264951,58490
7.370194,1,19917.6862,True,True,5.4501512311161416e-11,4.587726438198389,58491
9.905197,1,19919.119999,True,True,1.4698461192843763e-10,0.0025624362936861,58492
8.925852,1,19919.121337,True,True,0.0088060694938324,1.7890609283992631,58493
3.29578,1,19920.461891,True,True,6.955841523430262e-10,11.941652839076898,58494
7.5447,6,19920.46523,True,True,2.715979968778404e-09,3.3489291816086,58500
