time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction
564,40,23040,180,0.00039698975,0.1505957841873169,-0.09236587099730968,180.0,-20.8199467,1790,0.2,-0.0015741605311632156,0.0003,0.8701780587434769,0.6063537448644638,0.00234375
567,40,23168,181,6.239861e-08,0.06350284069776535,-0.09492388442158699,180.0,-20.84239841,1800,0.2,-5.279149627313018e-06,0.0003,0.9839643314480782,0.07287929384037853,0.0
570,40,23296,182,5.0570816e-07,0.06539644300937653,-0.10777662210166454,180.0,-20.87434945,1810,0.2,-5.810055881738663e-05,0.0003,0.9890100108459592,0.07736897473223507,0.0
573,40,23424,183,0.00089255814,0.0646786168217659,-0.10116344131529331,180.0,-20.87434945,1820,0.2,-0.0018155773635953666,0.0003,0.9728326536715031,0.14115031585097312,0.0046875
576,40,23552,184,0.0018047048,0.1146349310874939,-0.112603073194623,180.0,-20.88477136,1830,0.2,-0.008699714997783303,0.0003,0.9249643757939339,0.14657574351876973,0.009375
580,40,23680,185,0.0011964142,0.005345361772924662,-0.1098878689110279,180.0,-20.84984493,1840,0.2,-0.0005138651002198457,0.0003,0.9923003325238824,0.06476476872339845,0.009375
583,40,23808,186,6.519258e-09,0.13813956081867218,-0.08100234791636467,180.0,-20.84984493,1850,0.2,-2.047449816018343e-05,0.0003,0.9532988592982292,0.22109336871653795,0.0
586,40,23936,187,0.000899408,0.06907957792282104,-0.07106085866689682,180.0,-20.86740374,1860,0.2,-0.0014611533377319574,0.0003,0.9631330892443657,0.14821476144716145,0.00546875
589,40,24064,188,3.2028183e-06,0.08889734745025635,-0.06496070250868798,180.0,-20.872084779999994,1870,0.2,6.046285852789879e-05,0.0003,0.9650505930185318,0.15754606444388627,0.0
592,40,24192,189,0.00046219584,0.019233224913477898,-0.07820504494011402,180.0,-20.872084779999994,1880,0.2,-0.0007090510800480843,0.0003,0.9306585490703583,0.32829246670007706,0.0015625
595,40,24320,190,2.4866313e-07,0.32015296816825867,-0.05715397354215383,180.0,-20.872000399999997,1890,0.2,-3.787018358707428e-05,0.0003,0.9074087738990784,0.4933622978627682,0.0
598,40,24448,191,0.0010956223,0.07091597467660904,-0.04738698359578848,180.0,-20.896794720000003,1900,0.2,-0.0014843904180452227,0.0003,0.9203846678137779,0.15594990062527359,0.0046875
601,40,24576,192,1.2712553e-07,0.004821375012397766,-0.052943095192313196,180.0,-20.91976768,1910,0.2,-7.049390114843845e-05,0.0003,0.9828940369188786,0.10083288759924472,0.0
604,40,24704,193,2.7008355e-08,0.11427508294582367,-0.04835999608039856,180.0,-20.91976768,1920,0.2,3.051732201129198e-05,0.0003,0.9438781291246414,0.3518389590084553,0.0
607,40,24832,194,0.0003610379,0.07689081132411957,-0.051388622634112834,180.0,-20.889235709999998,1930,0.2,-0.0004039524588733912,0.0003,0.9641506262123585,0.14094638200476767,0.0015625
611,40,24960,195,0.0009939494,0.0622267946600914,-0.05321219600737095,180.0,-20.897977419999997,1940,0.2,-0.003181823715567589,0.0003,0.9823180474340916,0.09407453872263431,0.00703125
614,40,25088,196,1.6298145e-07,0.0783136636018753,-0.05366701018065214,180.0,-20.897977419999997,1950,0.2,-1.3260357081890107e-05,0.0003,0.9840884525328875,0.09737199433147907,0.0
617,40,25216,197,0.0,0.005772233009338379,-0.05250807739794254,180.0,-20.89878878,1960,0.2,-6.466871127486229e-07,0.0003,0.9788680858910084,0.13417811300605537,0.0
620,40,25344,198,0.00050636893,0.2990873157978058,-0.05072887502610683,180.0,-20.86991219,1970,0.2,-0.0014852397376671433,0.0003,0.7888832986354828,0.5158804014325142,0.003125
623,40,25472,199,0.0,0.07029503583908081,-0.04863176699727774,180.0,-20.88321885,1980,0.2,-9.764917194843292e-07,0.0003,0.9700701925903559,0.21374382618814708,0.0
626,40,25600,200,0.0,0.008597727864980698,-0.04834441207349301,180.0,-20.88321885,1990,0.2,-4.821456968784333e-07,0.0003,0.9873894052579999,0.07148431246168911,0.0
630,40,25728,201,0.0,0.1070416122674942,-0.05293398704379797,180.0,-20.84112329,2000,0.2,-1.3309065252542495e-06,0.0003,0.9477203860878944,0.20226630363613368,0.0
633,40,25856,202,0.0020431136,-0.000580688938498497,-0.04593019988387823,180.0,-20.868136910000004,2010,0.2,-0.003840500419028103,0.0003,0.9865062665194273,0.08554968014359474,0.0140625
636,40,25984,203,0.0,0.01518255565315485,-0.03654104731976986,180.0,-20.868136910000004,2020,0.2,-6.533227860927582e-08,0.0003,0.9847662672400475,0.08827656293287874,0.0
639,40,26112,204,0.0,0.12657998502254486,-0.03993221484124661,180.0,-20.880451190000002,2030,0.2,-8.504255674779416e-07,0.0003,0.9677643962204456,0.16281885411590338,0.0
642,40,26240,205,0.0,0.06523973494768143,-0.03554695080965757,180.0,-20.877419500000002,2040,0.2,-2.1240673959255217e-06,0.0003,0.9716660138219595,0.08447973388247192,0.0
645,40,26368,206,0.0,0.10490221530199051,-0.036986525543034075,180.0,-20.88907344,2050,0.2,4.2032916098833083e-07,0.0003,0.9809534028172493,0.18855355912819505,0.0
648,40,26496,207,0.0,0.02562420256435871,-0.04098486043512821,180.0,-20.88907344,2060,0.2,-4.204176366329193e-06,0.0003,0.9541005827486515,0.2110167920589447,0.0
652,40,26624,208,0.0,0.172246515750885,-0.04134154636412859,180.0,-20.910172430000003,2070,0.2,8.051982149481774e-07,0.0003,0.8950794860720634,0.4158618688583374,0.0
655,40,26752,209,1.9557774e-08,0.007235898170620203,-0.04439894501119852,180.0,-20.928967450000002,2080,0.2,-3.490271046757698e-05,0.0003,0.9836295731365681,0.10862955809570848,0.0
658,40,26880,210,0.0,0.06399102509021759,-0.043365493044257165,180.0,-20.928967450000002,2090,0.2,1.2701144441962243e-06,0.0003,0.9891436165198684,0.07622871529310941,0.0
661,40,27008,211,0.0003196546,0.12945537269115448,-0.04631708078086376,180.0,-20.9354462,2100,0.2,-9.288412402383984e-05,0.0003,0.9768375288695097,0.14653326738625766,0.00234375
665,40,27136,212,3.8649887e-08,0.0030827342998236418,-0.04478044994175434,180.0,-20.953928900000005,2110,0.2,-4.821497714146972e-05,0.0003,0.9736279677599669,0.08781185232801363,0.0
668,40,27264,213,0.00016525108,0.16734245419502258,-0.04928054586052895,180.0,-20.971448730000006,2120,0.2,-0.0003591305576264858,0.0003,0.950654000043869,0.5002999134361744,0.00078125
671,40,27392,214,0.00021843472,0.12842337787151337,-0.056332135386765,180.0,-20.971448730000006,2130,0.2,-0.00034777779364958405,0.0003,0.9736165292561054,0.17237123479135336,0.00078125
674,40,27520,215,1.4843885e-05,0.06576874852180481,-0.0414355268701911,180.0,-21.001256270000003,2140,0.2,7.388647645711899e-07,0.0003,0.9115432947874069,0.22868279553949833,0.0
678,40,27648,216,5.7322904e-07,0.01075979694724083,-0.04876712299883366,180.0,-21.0105578,2150,0.2,-8.584787137806415e-05,0.0003,0.9890026384964585,0.07487574983388186,0.0
681,40,27776,217,0.0,0.006005807314068079,-0.03602565210312605,180.0,-21.0105578,2160,0.2,-7.835379801690578e-06,0.0003,0.9824833162128925,0.09408134655095637,0.0
684,40,27904,218,8.96398e-07,0.08264154195785522,-0.05775975957512856,180.0,-21.04318495,2170,0.2,-3.46992164850235e-05,0.0003,0.9677240960299969,0.1623807804659009,0.0
688,40,28032,219,1.3504177e-07,0.0696963518857956,-0.04641475435346365,180.0,-21.060736610000003,2180,0.2,-4.4873449951410294e-05,0.0003,0.9823559168726206,0.08017842490808107,0.0
691,40,28160,220,0.0010676631,0.05900716036558151,-0.06202660035341978,180.0,-21.05510284,2190,0.2,-0.0006705989595502615,0.0003,0.9819436799734831,0.11114758625626564,0.00546875
694,40,28288,221,6.949622e-05,0.017007257789373398,-0.0408852145075798,180.0,-21.05510284,2200,0.2,-5.578143754974008e-05,0.0003,0.9690247252583504,0.14290952272713184,0.0
698,40,28416,222,9.313226e-10,0.06334889680147171,-0.03971314169466496,180.0,-21.04174704,2210,0.2,-7.762480527162552e-06,0.0003,0.922897182404995,0.16871293261647224,0.0
701,40,28544,223,1.3969839e-09,0.06153767183423042,-0.03936491664499044,180.0,-21.04546821,2220,0.2,-7.403310155496001e-06,0.0003,0.9889365043491125,0.07076071315677837,0.0
704,40,28672,224,0.0,0.006328645162284374,-0.040388870798051354,180.0,-21.04546821,2230,0.2,-5.681044422090054e-06,0.0003,0.9762005805969238,0.10973803093656898,0.0
708,40,28800,225,3.6540441e-06,0.07897737622261047,-0.051482324860990046,180.0,-21.056350419999998,2240,0.2,-1.0025518713518978e-05,0.0003,0.975416598841548,0.14087105244398118,0.0
711,40,28928,226,0.0005478128,0.04606970399618149,-0.05789122488349676,180.0,-21.081190839999998,2250,0.2,-0.0005233640200458467,0.0003,0.9809077326208353,0.11372839622199535,0.003125
714,40,29056,227,0.00067528477,0.06261654943227768,-0.08382730633020401,180.0,-21.096705549999996,2260,0.2,-0.000782516342587769,0.0003,0.9892848543822765,0.07682288161013276,0.00546875
718,40,29184,228,0.00077332323,0.24534890055656433,-0.05192541051656008,180.0,-21.096705549999996,2270,0.2,-0.002186463470570743,0.0003,0.9195974171161652,0.43506032302975656,0.00390625
