time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,train/value_loss,rollout/ep_len_mean
12800,172,25,74,-0.10725972801446915,0.2,-2.120671737194061,0.0003,0.1919921875,0.015380753,-0.025739583664108067,0.9726295936852694,-13.36521129761905,240,0.0035885877252439967,150.0
13312,179,26,74,-0.1435288041830063,0.2,-2.145215854048729,0.0003,0.1130859375,0.011312248,-0.014559575257590041,0.9544942788779736,-13.229452522727273,250,0.0030717126515810377,150.0
13824,186,27,74,-0.12134101241827011,0.2,-2.1613091439008714,0.0003,0.052734375,0.011528394,-0.0125361418700777,0.9438395239412785,-13.105280739130436,260,0.006273985360166989,150.0
14336,192,28,74,-0.12014476954936981,0.2,-2.148459205031395,0.0003,0.1255859375,0.01101151,-0.01749570383108221,0.876564510166645,-13.105280739130436,270,0.010088309767888859,150.0
14848,199,29,74,-0.11173142492771149,0.2,-2.145934689044952,0.0003,0.03359375,0.0071576447,-0.007559032889548689,0.9190050736069679,-12.994154333333332,280,0.0033064304530853405,150.0
15360,205,30,74,-0.11211854964494705,0.2,-2.170652765035629,0.0003,0.0625,0.011879923,-0.011549460008973255,0.906040720641613,-12.89723667,290,0.008421604539034889,150.0
15872,212,31,74,-0.11382800340652466,0.2,-2.1735603362321854,0.0003,0.130859375,0.011955857,-0.0187639391340781,0.7322991788387299,-11.972264619999999,300,0.04786963330116123,150.0
16384,219,32,74,-0.10280334204435349,0.2,-2.1855909645557405,0.0003,0.0716796875,0.012235407,-0.012303066160529851,0.7902971059083939,-11.609180179999996,310,0.04231175663298927,150.0
16896,226,33,74,-0.12274773418903351,0.2,-2.2127344846725463,0.0003,0.0837890625,0.010278438,-0.013693903115927242,0.9423902407288551,-11.28605,320,0.006264346686657518,150.0
17408,233,34,74,-0.1578103005886078,0.2,-2.186424767971039,0.0003,0.08828125,0.010404095,-0.021199061529478057,0.9699182845652103,-11.044361869999998,330,0.0033812927998951637,150.0
17920,239,35,74,-0.11968299001455307,0.2,-2.1939705938100813,0.0003,0.1373046875,0.020749848,-0.021071011456660925,0.6201850771903992,-11.044361869999998,340,0.054879652603995056,150.0
18432,246,36,74,-0.12262649834156036,0.2,-2.2014364153146744,0.0003,0.1322265625,0.013038192,-0.012825375964166597,0.3526116609573364,-10.942660059999998,350,0.05048621332971379,150.0
