time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/loss,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
29696,77,58,382,0.0003,570,-20.582831499999998,-2.191807970404625,179.5,0.19548575580120087,0.0035293975,0.2815204216167331,0.1,0.9326373040676117,-0.009604400122771039,0.1212890625
30208,77,59,389,0.0003,580,-20.56730005,-2.1811172753572463,179.5,0.019783038645982742,0.0032890982,0.2618008269928396,0.1,0.9235171154141426,-0.010140317148761823,0.1546875
30720,77,60,395,0.0003,590,-20.54084368,-2.0746504187583925,179.5,0.04779461398720741,0.0033464849,0.14859007322229445,0.1,0.9743575677275658,-0.006390379770891741,0.1314453125
31232,77,61,401,0.0003,600,-20.559341049999997,-2.0653977781534194,179.5,0.16300183534622192,0.0034611518,0.14273172144312413,0.1,0.9667692296206951,-0.011536519916262478,0.1330078125
31744,77,62,408,0.0003,610,-20.56660212,-2.0932721883058547,179.5,0.16601037979125977,0.003188532,0.11691456357948482,0.1,0.9726312253624201,-0.013049467926612124,0.178125
32256,77,63,414,0.0003,620,-20.571989669999997,-2.081816318631172,179.5,0.025555431842803955,0.0032569799,0.180356448283419,0.1,0.9597589373588562,-0.011585718824062497,0.1833984375
32768,77,64,420,0.0003,630,-20.538875030000003,-2.0857739090919494,179.5,0.05325442925095558,0.0033843457,0.12241891962476074,0.1,0.9606735035777092,-0.01070173314656131,0.1712890625
33280,77,65,426,0.0003,640,-20.557363459999998,-2.1744691252708437,179.5,0.05299793556332588,0.003403701,0.17854716272559018,0.1,0.9409713447093964,-0.008735574810998514,0.1517578125
33792,78,66,433,0.0003,650,-20.62900049,-2.1503914505243302,180.0,0.03908570110797882,0.0028530797,0.25668382877483964,0.1,0.9355453997850418,-0.008299669757252558,0.1306640625
34304,78,67,439,0.0003,660,-20.625057929999997,-2.122247615456581,180.0,-0.0006199851632118225,0.0033554505,0.12112245108000934,0.1,0.9742856919765472,-0.011687218511360698,0.16328125
34816,78,68,445,0.0003,670,-20.63414942,-2.105850037932396,180.0,0.013896645978093147,0.0039394344,0.14163018229883165,0.1,0.9667782075703144,-0.013476295681903139,0.209375
35328,78,69,451,0.0003,680,-20.64007176,-2.0742107182741165,180.0,0.14643481373786926,0.0030942392,0.15511388999875636,0.1,0.9529912173748016,-0.008717476500896737,0.1154296875
35840,78,70,458,0.0003,690,-20.595851940000003,-2.0927867978811263,180.0,0.07189511507749557,0.0033265813,0.2186812470201403,0.1,0.9522622041404247,-0.013318727433215827,0.1673828125
36352,78,71,464,0.0003,700,-20.58150044,-2.0220754593610764,180.0,0.1087360680103302,0.004506197,0.17326727574691175,0.1,0.9442418590188026,-0.010397375002503395,0.1880859375
36864,78,72,470,0.0003,710,-20.55300619,-2.1057058602571486,180.0,0.0546875,0.0028961152,0.16577345361001788,0.1,0.9381905049085617,-0.010940961702726782,0.1138671875
37376,78,73,476,0.0003,720,-20.54154705,-2.0435456037521362,180.0,0.005457961931824684,0.0034106013,0.24532425333745778,0.1,0.9294391870498657,-0.014119751029647886,0.1916015625
37888,78,74,482,0.0003,730,-20.563092460000004,-2.0822944045066833,180.0,0.06989993900060654,0.0041066646,0.18659898778423667,0.1,0.9613784998655319,-0.014238976599881426,0.2240234375
38400,78,75,488,0.0003,740,-20.56093749,-2.0581127971410753,180.0,0.02036173827946186,0.0033987453,0.1597650869283825,0.1,0.9549298286437988,-0.012120467983186245,0.16015625
38912,78,76,495,0.0003,750,-20.56496594,-2.0759938985109327,180.0,0.1135653555393219,0.0029312987,0.1876612164080143,0.1,0.9513590894639492,-0.011530295806005597,0.1708984375
39424,78,77,501,0.0003,760,-20.54491198,-2.1012811362743378,180.0,0.014039820060133934,0.003621548,0.15439757527783513,0.1,0.9697794634848833,-0.01237848003511317,0.2080078125
39936,78,78,507,0.0003,770,-20.543252660000004,-2.0697138488292692,180.0,0.03560314327478409,0.003363816,0.13915444056037812,0.1,0.9668451994657516,-0.011246849165763706,0.1650390625
40448,78,79,513,0.0003,780,-20.553445879999998,-2.1324824750423432,180.0,0.0692339837551117,0.0033781612,0.1808081272058189,0.1,0.9548232778906822,-0.010948643152369186,0.1615234375
40960,78,80,520,0.0003,790,-20.519519289999998,-2.1513853788375856,180.0,-0.0004546940326690674,0.003965376,0.14145096079446376,0.1,0.9670499116182327,-0.011016001523239538,0.1962890625
41472,78,81,526,0.0003,800,-20.46709704,-2.0799106031656267,180.0,0.05470665544271469,0.0023324443,0.07981044180924073,0.1,0.9833658523857594,-0.010661450098268688,0.1171875
41984,78,82,532,0.0003,810,-20.51538516,-2.079994797706604,180.0,0.08595724403858185,0.0029036137,0.4144962945021689,0.1,0.8741982728242874,-0.00815355585073121,0.1
42496,78,83,538,0.0003,820,-20.49938557,-2.1373351186513903,180.0,0.004327399656176567,0.0037840288,0.16267130617052317,0.1,0.9499139189720154,-0.013236196630168706,0.1876953125
43008,78,84,544,0.0003,830,-20.46157177,-2.0723870933055877,180.0,0.11220516264438629,0.0034177587,0.1459340810775757,0.1,0.9634177424013615,-0.011727704259101301,0.1314453125
43520,78,85,550,0.0003,840,-20.47389429,-1.9977646231651307,180.0,0.08052641898393631,0.0035388605,0.1714949171990156,0.1,0.9527836069464684,-0.007963099225889891,0.0681640625
44032,79,86,557,0.0003,850,-20.482591739999997,-2.0356745555996896,180.0,0.11980690062046051,0.0039007214,0.23812342588789762,0.1,0.9288688227534294,-0.010378393731662073,0.149609375
44544,79,87,563,0.0003,860,-20.445486959999997,-2.09402973651886,180.0,-0.011166497133672237,0.004346501,0.10075007852865384,0.1,0.9747790023684502,-0.012833511119242757,0.1404296875
45056,79,88,569,0.0003,870,-20.41671194,-1.9966610550880433,180.0,-0.005936071276664734,0.0029674605,0.09145983811467887,0.1,0.9822092577815056,-0.011998732085339725,0.1984375
45568,79,89,575,0.0003,880,-20.445208360000002,-2.0087251231074332,180.0,0.06905775517225266,0.0027079366,0.12573992959223687,0.1,0.9676826782524586,-0.0065672715660184625,0.1181640625
46080,79,90,582,0.0003,890,-20.45566847,-2.039995364844799,180.0,0.11039575934410095,0.002868672,0.18073786695022137,0.1,0.949962928891182,-0.011219994665589183,0.151953125
46592,79,91,588,0.0003,900,-20.444104539999998,-1.983833420276642,180.0,0.11943056434392929,0.004553208,0.14349509463645518,0.1,0.9720699172466993,-0.012919637461891398,0.20078125
47104,79,92,594,0.0003,910,-20.432668869999997,-1.8652101203799247,180.0,0.10429280251264572,0.0035899128,0.17369455182924867,0.1,0.9624973982572556,-0.013572084979387,0.169921875
47616,79,93,600,0.0003,920,-20.35656982,-1.9947251126170158,180.0,0.12182040512561798,0.0030816754,0.1613280701218173,0.1,0.960590522736311,-0.00897286321851425,0.13359375
48128,79,94,606,0.0003,930,-20.335640879999996,-2.0254562348127365,180.0,0.04379215091466904,0.0031150794,0.12145687725860625,0.1,0.9765336290001869,-0.00813722745515406,0.10859375
48640,79,95,612,0.0003,940,-20.32958496,-1.8732109859585762,180.0,-0.0032719019800424576,0.0029113404,0.09641404198482632,0.1,0.9806677252054214,-0.010644426150247455,0.118359375
49152,79,96,619,0.0003,950,-20.32272786,-1.8851914316415788,180.0,-0.006197016686201096,0.002595265,0.12487045684829354,0.1,0.9665971249341965,-0.012490257096942514,0.13828125
49664,79,97,625,0.0003,960,-20.30882861,-2.04264108389616,180.0,0.056981537491083145,0.0030309828,0.12295074211433529,0.1,0.9718806575983763,-0.010188952856697141,0.1208984375
50176,79,98,631,0.0003,970,-20.293882290000003,-1.9041743904352189,180.0,0.030518818646669388,0.0025165812,0.1029695755802095,0.1,0.981308227404952,-0.01102560937870294,0.1041015625
50688,79,99,637,0.0003,980,-20.27985945,-1.8614309072494506,180.0,0.010031236335635185,0.0026407558,0.13123766551725566,0.1,0.9678691327571869,-0.007107905397424475,0.1083984375
51200,79,100,643,0.0003,990,-20.27079864,-1.9771925136446953,180.0,0.024390196427702904,0.002014164,0.2210363760124892,0.1,0.9264385849237442,-0.010030242515495048,0.081640625
51712,79,101,650,0.0003,1000,-20.268118400000002,-2.0092386692762374,180.0,0.13170978426933289,0.004024295,0.19970781411975622,0.1,0.961115512996912,-0.014057005778886378,0.168359375
52224,79,102,656,0.0003,1010,-20.28135027,-1.9223971530795096,180.0,0.007224714383482933,0.002754378,0.11438252839725464,0.1,0.976100280880928,-0.009918014286085963,0.1205078125
52736,79,103,662,0.0003,1020,-20.27861906,-1.9824118942022324,180.0,0.062316618859767914,0.0032702128,0.15169752682559193,0.1,0.9605847969651222,-0.008066202176269143,0.1275390625
53248,79,104,668,0.0003,1030,-20.322599049999997,-2.0164127185940743,180.0,0.03688761591911316,0.0030856205,0.1931898843962699,0.1,0.9446626268327236,-0.008880088687874377,0.11796875
53760,79,105,674,0.0003,1040,-20.32707824,-1.8847120597958564,180.0,0.05895453318953514,0.0024347426,0.0874260678421706,0.1,0.9843674432486296,-0.009936527415993624,0.125
54272,79,106,680,0.0003,1050,-20.354795519999996,-1.7430996119976043,180.0,0.15613234043121338,0.0032356454,0.12151742314454168,0.1,0.9742133039981127,-0.00909824290429242,0.1408203125
54784,79,107,687,0.0003,1060,-20.412269670000004,-1.9026213765144349,180.0,0.011553640477359295,0.0023265108,0.19053668617270886,0.1,0.9508820548653603,-0.010604771540965886,0.102734375
55296,79,108,693,0.0003,1070,-20.38838727,-1.8868248149752618,180.0,0.0762583464384079,0.0026077805,0.1306691688951105,0.1,0.9768660590052605,-0.011555076990043744,0.1181640625
55808,79,109,699,0.0003,1080,-20.3763409,-1.7330131843686103,180.0,0.11437518894672394,0.0017643477,0.10059002679772674,0.1,0.9783861264586449,-0.008214392836089246,0.1224609375
56320,79,110,705,0.0003,1090,-20.37315949,-1.766890288889408,180.0,0.08711421489715576,0.0022665737,0.15160188898444177,0.1,0.9606553465127945,-0.009332148701651022,0.1091796875
56832,79,111,711,0.0003,1100,-20.356328519999998,-1.8733744591474533,180.0,0.009668037295341492,0.0035269554,0.14684894375968724,0.1,0.9665173850953579,-0.011681867024162785,0.18203125
57344,79,112,717,0.0003,1110,-20.38213415,-1.7488565251231194,180.0,0.12135705351829529,0.0039315815,0.14804197237826883,0.1,0.9723269045352936,-0.009719645581208169,0.116015625
57856,79,113,723,0.0003,1120,-20.369124909999996,-1.65916198939085,180.0,0.12880617380142212,0.0025683518,0.12564071153756232,0.1,0.9678696878254414,-0.00865422897040844,0.122265625
58368,79,114,730,0.0003,1130,-20.36210925,-1.8210740387439728,180.0,0.0460553914308548,0.0035274238,0.1320447754813358,0.1,0.9601920582354069,-0.010850521770771593,0.12578125
58880,79,115,736,0.0003,1140,-20.39186478,-1.8307491928339004,180.0,0.20458440482616425,0.0034289146,0.23226116863079369,0.1,0.9462331794202328,-0.012843946239445358,0.126953125
59392,79,116,742,0.0003,1150,-20.41410003,-1.7317436888813973,180.0,0.02233337238430977,0.0021337224,0.1313915788428858,0.1,0.9623393081128597,-0.009609519160585478,0.0962890625
59904,80,117,748,0.0003,1160,-20.40426965,-1.6270845532417297,180.0,0.03022385947406292,0.0023448903,0.16250478355214,0.1,0.9540642946958542,-0.009550085262162611,0.1060546875
60416,80,118,754,0.0003,1170,-20.410307139999997,-1.8372803956270218,180.0,0.05504734814167023,0.0037243855,0.1440191674279049,0.1,0.9615504816174507,-0.01050545583711937,0.130859375
60928,80,119,761,0.0003,1180,-20.401096260000003,-1.6375791504979134,180.0,0.12773922085762024,0.0047985874,0.11016123115550727,0.1,0.9754485283046961,-0.013223841876606458,0.1861328125
61440,80,120,767,0.0003,1190,-20.4100592,-1.6314478114247322,180.0,0.021170349791646004,0.0030853902,0.15126044570934027,0.1,0.9551314041018486,-0.008327966812066734,0.116015625
61952,80,121,773,0.0003,1200,-20.321218620000003,-1.6195601537823676,179.5,0.07374774664640427,0.002685404,0.20738015898969026,0.1,0.9371457025408745,-0.011346961613162421,0.105859375
62464,80,122,779,0.0003,1210,-20.3013225,-1.7794013395905495,179.5,0.11974731087684631,0.0043257168,0.08883014284074306,0.1,0.9748946148902178,-0.014243877411354333,0.2142578125
62976,80,123,785,0.0003,1220,-20.31518961,-1.7458817228674888,179.5,-0.005235826596617699,0.003796447,0.09674670875538141,0.1,0.9809580687433481,-0.012201772947446444,0.2033203125
63488,80,124,791,0.0003,1230,-20.306873969999998,-1.699601550400257,179.5,0.040660712867975235,0.0031782452,0.17226665383204817,0.1,0.9505038112401962,-0.011259917163988576,0.14921875
64000,80,125,798,0.0003,1240,-20.25695128,-1.7927296459674835,179.5,0.06624845415353775,0.0044006025,0.1808912763837725,0.1,0.9408822692930698,-0.010158274194691331,0.137890625
64512,80,126,804,0.0003,1250,-20.284825259999998,-1.6524177491664886,179.5,0.03678308427333832,0.004508788,0.1387631693854928,0.1,0.9693714082241058,-0.010673599963774904,0.1365234375
65024,80,127,810,0.0003,1260,-20.29731428,-1.5488505259156227,179.5,0.05290643125772476,0.003030664,0.1858537764288485,0.1,0.9480129033327103,-0.01408821779768914,0.148828125
