r,l,t,cum_timesteps,success_proxy
-5.948084,60,245.557508,14760,False
-5.741507,60,245.558506,14820,False
-6.232193,60,245.567541,14880,False
-5.515105,60,248.849173,14940,False
-6.176432,60,248.859758,15000,False
-6.273549,60,248.859758,15060,False
-6.96486,60,248.859758,15120,False
-6.838512,60,252.059872,15180,False
-6.774658,60,252.070458,15240,False
-6.781659,60,252.071455,15300,False
-5.508333,60,252.071455,15360,False
-5.530923,60,256.425769,15420,False
-6.963561,60,256.430364,15480,False
-7.542429,60,256.43537,15540,False
-6.382176,60,256.440355,15600,False
-7.486849,60,259.664648,15660,False
-6.031516,60,259.672238,15720,False
-6.412434,60,259.675234,15780,False
-5.898433,60,259.676232,15840,False
-6.375379,60,264.047479,15900,False
-7.214776,60,264.058064,15960,False
-6.4494,60,264.061621,16020,False
-7.4702,60,264.062605,16080,False
-7.100071,60,267.361946,16140,False
-7.645318,60,267.36253,16200,False
-6.000633,60,267.366525,16260,False
-6.682503,60,267.374534,16320,False
-6.040716,60,271.6222,16380,False
-6.237206,60,271.629783,16440,False
-6.265646,60,271.629783,16500,False
-6.259415,60,271.632786,16560,False
-6.362128,60,274.892329,16620,False
-6.196663,60,274.8969,16680,False
-6.43648,60,274.899918,16740,False
-6.231398,60,274.901919,16800,False
-6.162229,60,279.150937,16860,False
-7.405818,60,279.15449,16920,False
-6.067417,60,279.15449,16980,False
-6.14847,60,279.160506,17040,False
-6.019282,60,282.443524,17100,False
-6.232212,60,282.451733,17160,False
-7.215856,60,282.45411,17220,False
-6.774779,60,282.45411,17280,False
-6.72011,60,286.752964,17340,False
-6.496032,60,286.755551,17400,False
-6.063314,60,286.761549,17460,False
-6.499706,60,286.761549,17520,False
-6.582763,60,290.031338,17580,False
-5.978509,60,290.039923,17640,False
-6.351663,60,290.040924,17700,False
-6.095455,60,290.043921,17760,False
-6.565373,60,294.329025,17820,False
-6.064354,60,294.336611,17880,False
-6.840401,60,294.341618,17940,False
-6.292992,60,294.346612,18000,False
-6.470373,60,297.585346,18060,False
-6.335015,60,297.590784,18120,False
-6.090506,60,297.596815,18180,False
-6.843118,60,297.601814,18240,False
-6.243426,60,301.865567,18300,False
-7.448669,60,301.871877,18360,False
-6.567438,60,301.876153,18420,False
-6.569199,60,301.878187,18480,False
-6.751835,60,305.225321,18540,False
-7.310863,60,305.231921,18600,False
-5.973917,60,305.232527,18660,False
-6.211277,60,305.233158,18720,False
-7.331009,60,309.497128,18780,False
-6.362294,60,309.508715,18840,False
-6.75842,60,309.51171,18900,False
-6.625254,60,309.512708,18960,False
-6.308824,60,312.960413,19020,False
-6.334618,60,312.967996,19080,False
-6.720193,60,312.970006,19140,False
-6.304729,60,312.972001,19200,False
-7.263229,60,316.158965,19260,False
-6.070977,60,316.161549,19320,False
-6.02864,60,316.161549,19380,False
-5.688202,60,316.168552,19440,False
-5.843167,60,320.437979,19500,False
-6.198948,60,320.448564,19560,False
-5.769268,60,320.448564,19620,False
-5.927509,60,320.452028,19680,False
-7.027316,60,323.815774,19740,False
-6.076569,60,323.825362,19800,False
-6.66062,60,323.828366,19860,False
-6.024649,60,323.832366,19920,False
-6.557584,60,328.375347,19980,False
-6.767247,60,328.386932,20040,False
-7.740822,60,328.390932,20100,False
-7.29992,60,328.391932,20160,False
-6.016167,60,331.537281,20220,False
-5.910328,60,331.546901,20280,False
-6.771935,60,331.547867,20340,False
-6.963526,60,331.547867,20400,False
-7.148807,60,335.958278,20460,False
-7.513861,60,335.958761,20520,False
-6.532815,60,335.958761,20580,False
-7.044345,60,335.966877,20640,False
-6.990966,60,339.210993,20700,False
-6.259525,60,339.226576,20760,False
-6.315744,60,339.228578,20820,False
-6.82974,60,339.229577,20880,False
-6.691683,60,343.541108,20940,False
-6.869525,60,343.548696,21000,False
-7.102984,60,343.55069,21060,False
-6.134728,60,343.551693,21120,False
-6.709028,60,346.736011,21180,False
-5.997699,60,346.742604,21240,False
-6.363377,60,346.742604,21300,False
-7.193799,60,346.742604,21360,False
-6.452376,60,351.018411,21420,False
-6.734629,60,351.026009,21480,False
-6.376319,60,351.027014,21540,False
-5.80453,60,351.028001,21600,False
-7.510295,60,354.368369,21660,False
-6.299869,60,354.372927,21720,False
-6.611051,60,354.37795,21780,False
-6.153276,60,354.379954,21840,False
-7.047903,60,358.5702,21900,False
-6.201229,60,358.576803,21960,False
-6.743069,60,358.577785,22020,False
-6.751156,60,358.580786,22080,False
-6.514146,60,361.762546,22140,False
-6.777449,60,361.773131,22200,False
-7.319558,60,361.773131,22260,False
-7.517801,60,361.773131,22320,False
-7.162946,60,366.059707,22380,False
-7.029971,60,366.063292,22440,False
-6.093806,60,366.069292,22500,False
-6.539156,60,366.070292,22560,False
-7.210395,60,369.809823,22620,False
-6.18825,60,369.818387,22680,False
-6.515963,60,369.819412,22740,False
-6.001602,60,369.820408,22800,False
-6.462947,60,373.158908,22860,False
-6.987051,60,373.172504,22920,False
-6.289741,60,373.176498,22980,False
-6.334584,60,373.183448,23040,False
-7.519804,60,377.440697,23100,False
-5.819462,60,377.441289,23160,False
-6.678494,60,377.441289,23220,False
-5.95783,60,377.450284,23280,False
-6.17627,60,381.546646,23340,False
-6.044967,60,381.557231,23400,False
-6.136484,60,381.570199,23460,False
-5.964693,60,381.570199,23520,False
-6.220539,60,385.896626,23580,False
-7.956089,60,385.907212,23640,False
-5.974038,60,385.914232,23700,False
-6.694573,60,385.914232,23760,False
-6.088003,60,389.1792,23820,False
-7.386625,60,389.189786,23880,False
-7.285578,60,389.193776,23940,False
-6.093626,60,389.194784,24000,False
-6.071219,60,393.435884,24060,False
-5.995679,60,393.436522,24120,False
-5.956098,60,393.436522,24180,False
-7.519419,60,393.444465,24240,False
-6.471084,60,396.700385,24300,False
-6.00131,60,396.707763,24360,False
-6.57595,60,396.709971,24420,False
-6.128292,60,396.710971,24480,False
-6.075646,60,401.032711,24540,False
-6.971918,60,401.04124,24600,False
-6.822299,60,401.043297,24660,False
-7.188784,60,401.04645,24720,False
-6.030169,60,404.344363,24780,False
-7.063473,60,404.347946,24840,False
-6.949371,60,404.347946,24900,False
-7.121572,60,404.359432,24960,False
-6.188418,60,408.61024,25020,False
-7.438042,60,408.621811,25080,False
-6.186064,60,408.622811,25140,False
