#{"t_start": 1785432288.313564, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
3.157968,3,2964.317258,True,False,True,3.5161594248486056e-05,11.182001957964953,,True
8.866618,1,2966.045799,True,False,True,0.005762294030195542,1.8894306261733065,,False
6.387917,1,2967.712302,True,False,True,0.005011426469994521,6.366777557394379,,False
7.955967,2,2969.473556,True,False,True,0.005556455127912557,2.7974135724576907,,False
8.29806,1,2971.134198,True,False,True,0.002471172391904993,2.9156557404483845,,False
7.982276,1,2972.768878,True,False,True,0.0006497853126235812,3.482690465394077,,False
4.85611,7,2983.586999,True,False,True,0.004577064313540715,5.836150274467091,,False
8.320284,1,2985.316587,True,False,True,0.005786591370337761,2.876956200939023,,False
4.658774,1,2987.095988,True,False,True,1.838744130913672e-11,9.482737015218595,,False
7.36187,4,2993.614655,True,False,True,0.004859539652569742,3.4637795299734524,,False
9.384782,1,2995.281896,True,False,True,2.852165306436303e-10,0.9483175565060766,,False
8.054787,3,2999.660367,True,False,True,0.0005027073821594161,3.0566806003295692,,False
5.873997,3,3002.566291,True,False,True,0.008900451788780656,6.699376860686529,,False
0.538746,1,3004.254517,True,False,True,0.00044727311068891353,16.913581459589167,,False
8.466779,1,3005.48809,True,False,True,3.4567675322241757e-10,2.6071395746609016,,False
4.910757,1,3006.979797,True,False,True,0.0001575811414359033,9.02819011426277,,False
8.667555,2,3010.022797,True,False,True,0.008276523782247453,1.9286589307710402,,False
9.29631,2,3012.539424,True,False,True,0.00014529156023818324,0.673589640488551,,False
8.523307,1,3013.809201,True,False,True,0.003964984984700423,2.5101965156656583,,False
8.056913,1,3015.457225,True,False,True,0.005200193805169698,3.3536155917200006,,False
3.784346,1,3017.200933,True,False,True,0.0016929057282025163,11.06160482428402,,True
3.791493,3,3020.008421,True,False,True,0.01070953449539419,11.304528728374391,,False
6.621777,2,3022.406387,True,False,True,0.00016416296617371984,5.793647914923679,,False
9.478852,3,3024.23857,True,False,True,0.00322853207644798,1.1097124973305665,,False
4.493872,6,3027.842451,True,False,True,0.004788713774007216,8.328756721456777,,False
9.904807,1,3029.050379,True,False,True,1.1699973999584976e-05,0.009404514062638411,,False
8.030272,2,3030.266966,True,False,True,0.004678017397455631,3.2552032506382895,,False
3.96243,1,3031.506648,True,False,True,0.000602937716016669,10.739542429591543,,False
-29.74477,60,3085.010673,False,False,True,0.013935800363690314,85.77086646066039,,True
7.378165,2,3086.220915,True,False,True,0.002123305485180846,4.473969193975493,,False
-51.765488,60,3117.638613,False,False,True,0.024988694866265523,8.470982470051545,,False
7.668796,7,3126.096771,True,False,True,4.102388171253746e-05,5.108445815880942,,False
9.896473,1,3127.745084,True,False,True,2.752026128827114e-10,0.024450685953083428,,False
6.817291,1,3129.540143,True,False,True,0.011475501624926195,5.5968088214284855,,False
9.235714,1,3130.707779,True,False,True,4.394412611574694e-11,1.214971979395902,,False
