r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr,cum_timesteps,d_mm
-10.814728,129,261.081481,True,False,True,0.0686466831764768,67.0514890814472,,False,7732,68.6466831764768
-14.497675,171,267.509233,True,False,True,0.0373578308871919,66.61579155625112,,False,7903,37.357830887191895
-13.162789,121,274.230425,True,False,True,0.0261743031999397,52.82151832737137,,False,8024,26.1743031999397
-8.010805,123,278.44032,True,False,True,0.042548002629449,73.3639421488261,,True,8147,42.548002629449
-18.321376,136,284.176538,True,False,True,0.0493099801402716,88.8848518729869,,False,8283,49.309980140271605
-11.655022,127,289.177557,True,False,True,0.0690518239655055,73.94585238085342,,False,8410,69.05182396550549
-13.975406,130,292.992183,True,False,True,0.1401039249279808,59.03455591326466,,False,8540,140.10392492798078
-13.764915,130,296.280901,True,False,True,0.0939163993490554,84.24150732022107,,False,8670,93.9163993490554
-17.354476,124,301.474796,True,False,True,0.0940079947267486,78.04375977999526,,False,8794,94.0079947267486
-13.35548,133,306.465144,True,False,True,0.0676392506117112,86.28885597796976,,True,8927,67.63925061171119
-11.320919,133,312.514235,True,False,True,0.05651562764724,82.14621207364247,,True,9060,56.515627647239995
-13.358261,139,316.168829,True,False,True,0.0998193512863043,78.96879871452033,,True,9199,99.8193512863043
-11.155342,126,320.450683,True,False,True,0.028198002758408,70.8560899927267,,False,9325,28.198002758408
-16.641201,132,325.918831,True,False,True,0.0168069186818536,83.52269522534151,,False,9457,16.8069186818536
-15.347847,131,329.801537,True,False,True,0.037514475571159,80.21971550865783,,True,9588,37.514475571159004
-15.729333,124,333.129029,True,False,True,0.0850994619961326,83.66975731433509,,False,9712,85.09946199613259
-16.04842,130,337.775964,True,False,True,0.0295410663730474,87.64482631365286,,False,9842,29.5410663730474
-9.822902,132,347.023037,True,False,True,0.1110039431724253,87.07264742155036,,False,9974,111.00394317242531
-7.850217,121,350.738458,True,False,True,0.0597730439972698,78.59048550227172,,False,10095,59.7730439972698
-12.602089,138,354.861745,True,False,True,0.1041468846724927,83.33794836655574,,False,10233,104.14688467249269
-11.319603,127,358.547691,True,False,True,0.097201799101795,85.1622174612132,,False,10360,97.20179910179499
-10.309585,123,363.711834,True,False,True,0.0664402895744906,86.38778565391121,,False,10483,66.44028957449059
-11.6514,131,367.084477,True,False,True,0.0245692261055876,74.70719223410894,,False,10614,24.5692261055876
-9.79899,126,370.644305,True,False,True,0.0279260699949193,72.31864893911266,,True,10740,27.926069994919303
-9.119785,125,374.500977,True,False,True,0.043984752598521,71.29287917598334,,True,10865,43.984752598521
-11.981455,123,379.150993,True,False,True,0.091751463391966,88.70093936068588,,False,10988,91.75146339196601
-8.072441,130,385.385144,True,False,True,0.0424036386988662,69.6294043238644,,False,11118,42.4036386988662
-12.631357,125,389.011634,True,False,True,0.0012848291646398,88.26438836607757,,False,11243,1.2848291646398
-10.190293,122,392.787791,True,False,True,0.0134432910121299,77.50989391603278,,False,11365,13.443291012129901
-12.32825,121,397.620622,True,False,True,0.0482409750167396,80.8989281705315,,False,11486,48.240975016739604
-10.090169,127,401.672323,True,False,True,0.0471103319918139,56.34596780493363,,False,11613,47.1103319918139
-7.176015,121,404.877554,True,False,True,0.0448453595487448,57.52756947246262,,True,11734,44.8453595487448
-10.158807,130,408.884405,True,False,True,0.0510658244393229,55.99586651319514,,False,11864,51.0658244393229
-9.819546,128,413.648585,True,False,True,0.0499337314648762,88.67402626935349,,False,11992,49.9337314648762
-9.658218,123,419.953916,True,False,True,0.0737750592452354,84.40792778774193,,False,12115,73.77505924523541
-13.595492,134,424.39152,True,False,True,0.0688604887567936,83.47994508863334,,False,12249,68.8604887567936
-32.539801,180,427.009194,False,False,True,0.0759411416329079,52.94460887213484,,False,12429,75.9411416329079
-8.961884,123,431.630177,True,False,True,0.0655041068733749,76.68848866412382,,False,12552,65.50410687337491
-13.598187,124,436.05259,True,False,True,0.0494879523900529,79.64675561140992,,False,12676,49.487952390052904
-10.03656,125,440.754793,True,False,True,0.0043287890159103,72.23038191797704,,False,12801,4.3287890159103
-14.518348,128,443.522728,True,False,True,0.0361126184837007,88.75163498026471,,False,12929,36.11261848370069
-7.607709,126,447.668672,True,False,True,0.094250744702138,83.41126279307396,,False,13055,94.250744702138
-8.637663,128,454.190951,True,False,True,0.0318149024908435,62.82032616108391,,False,13183,31.814902490843497
-10.640108,121,459.453434,True,False,True,0.0096379431900741,77.96327141360528,,False,13304,9.6379431900741
-14.28873,128,462.981233,True,False,True,0.1249050305155499,85.88057346858668,,False,13432,124.9050305155499
-11.962985,123,467.150373,True,False,True,0.0016707117981246,85.1652414486904,,False,13555,1.6707117981245998
-7.167984,126,471.536053,True,False,True,0.079612936410155,79.14306447464232,,False,13681,79.612936410155
-6.543844,121,475.346143,True,False,True,0.0830651027209974,80.97117331942262,,False,13802,83.0651027209974
-6.592039,121,477.967113,True,False,True,0.0635234867556885,63.84648384016633,,False,13923,63.5234867556885
-11.485905,123,481.703503,True,False,True,0.0952692464947139,85.64989422904154,,False,14046,95.2692464947139
-8.696905,125,487.574289,True,False,True,0.095885005683934,89.04357545476775,,False,14171,95.885005683934
-12.44105,127,491.478499,True,False,True,0.0969534886529941,81.2936092562768,,False,14298,96.9534886529941
-6.372079,121,494.099643,True,False,True,0.0388972471011293,73.4199342978768,,False,14419,38.8972471011293
-6.791285,122,497.956147,True,False,True,0.061003487660117,87.17454677503396,,False,14541,61.003487660116996
-8.847835,122,502.248904,True,False,True,0.0359578363163008,69.49391574524057,,False,14663,35.9578363163008
-7.791131,121,506.469705,True,False,True,0.087978192241412,77.89938591939918,,False,14784,87.978192241412
-19.821893,148,510.542541,True,False,True,0.0394579479991966,82.09436738657732,,False,14932,39.4579479991966
-7.157772,121,515.332181,True,False,True,0.0475174607178737,78.89909437675433,,True,15053,47.5174607178737
-12.782229,124,524.329219,True,False,True,0.0598700531484427,79.05610809350401,,False,15177,59.8700531484427
-6.594097,121,529.057653,True,False,True,0.0914813508494179,80.52721006664,,False,15298,91.4813508494179
-8.532311,123,533.4601,True,False,True,0.0319565937019023,83.30668745249389,,False,15421,31.9565937019023
-12.469461,123,536.856781,True,False,True,0.0930613353239715,77.27820802346,,False,15544,93.06133532397149
-6.606772,126,542.872909,True,False,True,0.0209085224609655,85.97019976303088,,False,15670,20.9085224609655
-6.862468,121,547.824355,True,False,True,0.01989207582648,74.98040666321495,,False,15791,19.892075826480003
-8.863606,124,554.517549,True,False,True,0.0137300068659224,84.1463352794165,,False,15915,13.7300068659224
-6.573935,121,557.823734,True,False,True,0.0410825480675649,79.70063613131775,,False,16036,41.0825480675649
-12.611158,121,563.246634,True,False,True,0.0903574497244209,81.66817347411273,,False,16157,90.3574497244209
-9.339885,121,569.789218,True,False,True,0.0128936077093287,86.47644268740967,,False,16278,12.8936077093287
-11.990481,125,574.066573,True,False,True,0.0994082940636645,75.37600542832182,,False,16403,99.4082940636645
-9.779906,125,577.278618,True,False,True,0.1155064171330295,89.39822948152654,,False,16528,115.5064171330295
-8.845851,130,582.693025,True,False,True,0.0791797590390903,82.05464814038497,,False,16658,79.1797590390903
-7.822921,123,586.855864,True,False,True,0.0795416664265904,87.70960574755061,,False,16781,79.5416664265904
-9.080245,127,591.292522,True,False,True,0.0348541886075848,74.9789106815459,,False,16908,34.8541886075848
-10.884896,128,594.596313,True,False,True,0.0530115783952847,83.29623358960211,,True,17036,53.0115783952847
-9.470751,121,599.820494,True,False,True,0.000663184646048,79.19207737854023,,False,17157,0.663184646048
-6.938956,121,605.821695,True,False,True,0.067701528438652,88.22926346405568,,False,17278,67.701528438652
-8.043616,125,610.82798,True,False,True,0.0013342248655653,86.4345381873287,,False,17403,1.3342248655653
-9.373928,127,614.083577,True,False,True,0.0827427109285484,77.18741381372055,,False,17530,82.7427109285484
-7.669408,122,618.763061,True,False,True,0.0750808120011744,85.83657162629545,,False,17652,75.08081200117441
-12.98072,121,622.394119,True,False,True,0.0740077549790123,82.5814380126279,,False,17773,74.00775497901229
-6.927073,121,627.093855,True,False,True,0.0582061435584062,73.76023127208104,,False,17894,58.2061435584062
-7.806621,127,630.561117,True,False,True,0.0373959670885866,88.70689491404842,,True,18021,37.3959670885866
-8.90682,122,635.241385,True,False,True,0.0092181710412798,89.23218067814932,,False,18143,9.218171041279799
-10.253975,121,638.943741,True,False,True,0.0159828453248019,88.34890091746723,,False,18264,15.9828453248019
-8.439174,125,645.914057,True,False,True,0.0418900445664139,80.02445047219402,,False,18389,41.890044566413906
-9.343904,121,649.209779,True,False,True,0.1141078695631445,86.88891960364846,,False,18510,114.1078695631445
-7.946758,128,653.920254,True,False,True,0.0068402061073654,78.8116665756638,,False,18638,6.8402061073654
-9.957767,126,657.267314,True,False,True,0.0502826673074371,79.52714444908955,,False,18764,50.2826673074371
-7.548622,121,661.148851,True,False,True,0.0636854324401203,85.96729853409322,,False,18885,63.6854324401203
-7.474361,127,664.161322,True,False,True,0.0162597963055431,67.40500728398999,,True,19012,16.2597963055431
-10.196004,121,668.139562,True,False,True,0.0905393130684774,69.19316835284879,,True,19133,90.5393130684774
-6.588653,124,671.052582,True,False,True,0.0756964462785049,77.57433875411525,,False,19257,75.6964462785049
-6.463542,121,676.557956,True,False,True,0.1049372864268473,77.06679201038138,,True,19378,104.9372864268473
-7.204398,122,679.76284,True,False,True,0.0875189205926462,83.16691358409734,,True,19500,87.5189205926462
-10.945077,121,683.637457,True,False,True,0.0652440689518618,78.20726305886042,,False,19621,65.2440689518618
-8.376897,126,687.308718,True,False,True,0.0720664669282406,85.21130945082662,,False,19747,72.0664669282406
-7.38407,121,690.800481,True,False,True,0.0302606241736782,78.21205751333477,,False,19868,30.2606241736782
-6.817506,121,693.877494,True,False,True,0.0267647302054665,85.06152842408547,,False,19989,26.7647302054665
-10.482553,121,697.850254,True,False,True,0.007311783713726,86.78606011261398,,True,20110,7.311783713726
-9.52449,121,701.01967,True,False,True,0.0453121818212126,76.98839240857079,,False,20231,45.3121818212126
-6.903194,122,706.227388,True,False,True,0.0814865170096258,72.94312275580576,,False,20353,81.4865170096258
-6.503582,121,709.289604,True,False,True,0.0672403252790439,87.483704849568,,False,20474,67.2403252790439
-8.706928,122,713.204077,True,False,True,0.0189354961554891,81.98207522687211,,False,20596,18.9354961554891
-10.858719,125,716.819705,True,False,True,0.0428819569806013,74.79528969099685,,False,20721,42.8819569806013
-8.614831,125,720.511467,True,False,True,0.1117577224512747,82.18673079807121,,False,20846,111.7577224512747
-8.10764,130,723.734532,True,False,True,0.0807339090063998,89.54219095452021,,False,20976,80.7339090063998
-10.114324,121,727.245728,True,False,True,0.0740591542765814,86.3352534493667,,False,21097,74.0591542765814
-8.764457,121,730.566093,True,False,True,0.0982774698274498,89.92568634220258,,False,21218,98.27746982744979
-11.75043,123,735.841201,True,False,True,0.0674563301486001,88.21305342175432,,False,21341,67.4563301486001
-12.067699,126,739.175718,True,False,True,0.0006834125583514,89.11679126046727,,False,21467,0.6834125583514
-8.67959,122,742.548306,True,False,True,0.0498560583380385,88.90831058665476,,False,21589,49.8560583380385
-7.251348,123,746.066068,True,False,True,0.0898408060165265,84.5502682266734,,False,21712,89.8408060165265
-8.813416,121,749.606111,True,False,True,0.0852329989595063,68.55747699376226,,False,21833,85.2329989595063
-7.641548,123,752.925076,True,False,True,0.0170848445765271,76.55441434992198,,False,21956,17.0848445765271
