time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss
2042,122880,99.09843099,60.0,240,60,2390,0.2,-0.01781715300749056,0.0003,0.012972648,501.82995319366455,0.649956077337265,67.894775390625,0.1146484375,-1.4315679222345352
2049,123392,108.37936735,60.0,241,60,2400,0.2,-0.003688153298571706,0.0003,0.0046054395,459.9840202331543,0.3682769536972046,106.45550537109375,0.003515625,-1.403433358669281
2060,123904,109.76289479000003,60.0,242,60,2410,0.2,-0.004841848937212489,0.0003,0.005224959,435.7986017227173,0.5414636135101318,138.91897583007812,0.005859375,-1.4126620322465897
2069,124416,103.40075095000002,60.0,243,60,2420,0.2,-0.0036726917955093087,0.0003,0.0034610855,503.66161880493166,0.5818919837474823,218.45492553710938,0.0083984375,-1.3269123241305352
2076,124928,99.23158234,60.0,244,60,2430,0.2,-0.0038063649088144304,0.0003,0.003424522,173.34715547561646,0.6681629419326782,63.60396194458008,0.0185546875,-1.3467976808547975
2085,125440,101.42763854,60.0,245,60,2440,0.2,-0.003613015223527327,0.0003,0.005079708,98.27479152679443,0.6451665461063385,18.936279296875,0.054296875,-1.4298259600996972
2092,125952,110.38399029000001,60.0,246,60,2450,0.2,-0.012549464276526123,0.0003,0.0062348936,209.30572175979614,0.7849873751401901,65.99298858642578,0.049609375,-1.386556050181389
2100,126464,107.34469732999997,60.0,247,60,2460,0.2,-0.004585131164640188,0.0003,0.0015123547,554.9675411224365,0.30909502506256104,166.5205535888672,0.0048828125,-1.327762995660305
2108,126976,105.67785197,60.0,248,60,2470,0.2,-0.0054782968130894,0.0003,0.0065117273,160.21606550216674,0.792389377951622,41.787166595458984,0.0611328125,-1.3886526614427566
2116,127488,106.03445481999998,60.0,249,60,2480,0.2,-0.004289064393378794,0.0003,0.007101264,289.58184108734133,0.7343592345714569,93.1274642944336,0.0828125,-1.499953491985798
2123,128000,109.34030462999999,60.0,250,60,2490,0.2,-0.01242184845614247,0.0003,0.0060411324,224.08995084762574,0.7439453303813934,60.24092483520508,0.0560546875,-1.507510906457901
2130,128512,105.98621750999999,60.0,251,60,2500,0.2,-0.0016390594304539264,0.0003,0.007910987,247.2625410079956,0.617827981710434,89.94076538085938,0.0505859375,-1.5437107592821122
2137,129024,109.90027503000002,60.0,252,60,2510,0.2,-0.008128358086105436,0.0003,0.0074439864,209.34869947433472,0.7295031547546387,90.32186889648438,0.0583984375,-1.6034107714891435
2144,129536,102.68538380999999,60.0,253,60,2520,0.2,-0.012056332229985856,0.0003,0.009314315,255.74089164733886,0.582028865814209,79.15067291259766,0.0435546875,-1.5549738451838493
2151,130048,104.28229738,60.0,254,60,2530,0.2,-0.012855317548383028,0.0003,0.006840834,297.358873462677,0.7180999219417572,94.11609649658203,0.0767578125,-1.4965100526809691
2159,130560,106.55536795000002,60.0,255,60,2540,0.2,-0.006430265092058107,0.0003,0.004955447,276.7582937240601,0.7049473822116852,97.51849365234375,0.0404296875,-1.498666524887085
2166,131072,104.18987247999999,60.0,256,60,2550,0.2,-0.0029795425245538352,0.0003,0.0043135304,281.0257947921753,0.7084079682826996,109.63377380371094,0.015625,-1.5026197761297226
2173,131584,96.43783905000001,60.0,257,60,2560,0.2,-0.0061748521286062895,0.0003,0.0045368155,133.9908516407013,0.7790095657110214,38.73849105834961,0.032421875,-1.506539987027645
2180,132096,95.68886168,60.0,258,60,2570,0.2,-0.0003664257237687707,0.0003,0.00401303,176.26732139587403,0.774551272392273,49.514869689941406,0.03515625,-1.5887496545910835
2186,132608,103.29465816999999,60.0,259,60,2580,0.2,-0.005277539184316993,0.0003,0.0060419515,155.82662920951844,0.7894267588853836,52.267642974853516,0.025,-1.5710315227508544
2193,133120,107.32418570000002,60.0,260,60,2590,0.2,-0.010307254362851381,0.0003,0.006212654,681.7940528869628,0.3190804719924927,220.2259979248047,0.0212890625,-1.4995772689580917
2200,133632,109.64634526,60.0,261,60,2600,0.2,-0.007566687470534817,0.0003,0.0071771354,164.95195217132567,0.8113462328910828,59.35832214355469,0.025,-1.4135224118828773
