time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/loss
367,5816,0.05,204,-4.5609018500000005,37.62,15,351,0.001,0.07106252014636993
376,5920,0.05,208,-4.66382737,37.74,15,357,0.001,0.23831526935100555
385,6060,0.05,212,-3.5742564999999997,37.13,15,366,0.001,0.361688494682312
392,6104,0.05,216,-3.6496855,36.76,15,369,0.001,0.26499950885772705
402,6312,0.05,220,-3.97744506,37.94,15,382,0.001,0.14527221024036407
410,6360,0.05,224,-3.77428909,37.13,15,385,0.001,0.20570611953735352
419,6492,0.05,228,-3.4786914400000004,36.79,15,393,0.001,0.11896713078022003
425,6556,0.05,232,-3.4750677999999997,36.2,15,397,0.001,0.10704206675291061
434,6744,0.05,236,-3.8138350200000004,35.61,15,409,0.001,0.08580466359853745
439,6756,0.05,240,-3.5600729700000007,34.4,15,410,0.001,0.08259713649749756
442,6764,0.05,244,-3.0859046600000006,33.53,15,,,
449,6800,0.05,248,-2.5445812000000005,31.77,15,412,0.001,0.07837392389774323
456,6820,0.05,252,-1.16167072,30.06,14,414,0.001,0.5372349619865417
463,6880,0.05,256,-0.8531746399999999,28.98,14,417,0.001,0.22918549180030823
469,6896,0.05,260,-0.22121307999999998,26.62,14,418,0.001,0.24968498945236206
477,7000,0.05,264,0.17963085999999998,24.85,14,425,0.001,0.09385284036397934
485,7156,0.05,268,-0.14379431999999992,24.8,14,435,0.001,0.1506960093975067
492,7248,0.05,272,-0.24267759999999997,23.62,14,440,0.001,0.15053538978099823
498,7324,0.05,276,-0.08399412000000009,23.18,14,445,0.001,0.1531478613615036
507,7500,0.05,280,0.0448192599999998,22.89,14,456,0.001,0.1492600440979004
515,7564,0.05,284,-0.16345373000000002,22.88,14,460,0.001,0.24887333810329437
521,7648,0.05,288,-0.12321804999999994,22.6,14,465,0.001,0.13553938269615173
529,7768,0.05,292,-0.012056799999999833,22.07,14,473,0.001,0.1352268010377884
536,7888,0.05,296,-0.23539421000000002,22.94,14,480,0.001,0.22294335067272186
543,7936,0.05,300,0.05685082999999988,21.79,14,483,0.001,0.1535499393939972
551,8044,0.05,304,0.004828119999999974,22.23,14,490,0.001,0.42086732387542725
560,8188,0.05,308,-1.7426067500000002,22.82,14,499,0.001,0.24144291877746582
569,8368,0.05,312,-2.0619641200000003,22.82,14,510,0.001,0.18509484827518463
574,8380,0.05,316,-2.02893676,22.82,14,511,0.001,0.18456865847110748
580,8396,0.05,320,-1.5520721400000002,21.06,14,512,0.001,0.12118122726678848
588,8528,0.05,324,-1.7009502500000004,21.66,14,520,0.001,0.4139085114002228
598,8768,0.05,328,-2.1930948,23.13,14,535,0.001,0.25169792771339417
606,8872,0.05,332,-1.9374753700000003,22.53,14,542,0.001,0.10636885464191437
614,8888,0.05,336,-1.1922021999999999,21.35,14,543,0.001,0.17515695095062256
623,9124,0.05,340,-2.41954896,23.1,14,558,0.001,0.14634601771831512
628,9136,0.05,344,-2.5354527100000004,23.7,14,,,
634,9168,0.05,348,-2.57765946,23.7,14,560,0.001,0.13429605960845947
642,9252,0.05,352,-2.85067899,24.3,14,566,0.001,0.055505357682704926
649,9388,0.05,356,-3.0693357800000007,24.79,14,574,0.001,0.028834663331508636
658,9620,0.05,360,-3.857044570000001,26.56,14,589,0.001,0.21275320649147034
666,9692,0.05,364,-3.8724750200000004,27.15,14,593,0.001,0.22051064670085907
675,9872,0.05,368,-3.4949305799999997,27.2,14,604,0.001,0.19667725265026093
682,9936,0.05,372,-3.15565138,27.2,14,608,0.001,0.2752578854560852
691,10124,0.05,376,-3.8002958300000014,28.21,14,620,0.001,0.2816804051399231
701,10344,0.05,380,-4.058749199999999,28.38,14,634,0.001,0.3073865473270416
707,10364,0.05,384,-3.7479554999999993,27.8,14,635,0.001,0.42787304520606995
715,10428,0.05,388,-3.69763387,27.64,14,639,0.001,0.10878840833902359
720,10460,0.05,392,-3.5999389499999994,27.62,14,641,0.001,0.07955413311719894
729,10672,0.05,396,-3.5079203000000003,27.36,14,654,0.001,0.3232038617134094
736,10856,0.05,400,-3.7619764200000003,28.54,14,666,0.001,0.09966554492712021
744,10956,0.05,404,-4.112487499999999,29.72,14,672,0.001,0.04167453572154045
752,11112,0.05,408,-2.2202102300000006,28.55,14,682,0.001,0.036099594086408615
760,11204,0.05,412,-2.04231587,29.15,14,688,0.001,0.07964968681335449
770,11424,0.05,416,-2.33968048,30.33,14,701,0.001,0.13407787680625916
780,11636,0.05,420,-2.8892933600000004,32.09,14,715,0.001,0.06618867814540863
788,11836,0.05,424,-3.0475816600000014,32.66,15,727,0.001,0.1032053604722023
798,12076,0.05,428,-3.0293903200000005,32.66,15,742,0.001,0.06257633864879608
805,12120,0.05,432,-3.0785712999999992,32.66,15,745,0.001,0.09469355642795563
814,12360,0.05,436,-3.4596726300000005,34.43,15,760,0.001,0.10387831926345825
821,12384,0.05,440,-2.38784641,33.27,15,761,0.001,0.2334667295217514
830,12620,0.05,444,-2.6924060599999997,34.14,15,776,0.001,0.027738723903894424
840,12860,0.05,448,-3.1519992,35.9,15,791,0.001,0.0862593874335289
847,12896,0.05,452,-3.15513833,36.43,15,793,0.001,0.123374804854393
857,13136,0.05,456,-3.45278327,37.61,15,808,0.001,0.31071996688842773
864,13172,0.05,460,-2.890501539999999,36.45,15,811,0.001,0.061756521463394165
874,13400,0.05,464,-3.000276149999999,36.69,15,825,0.001,0.3659513592720032
883,13584,0.05,468,-3.52984075,36.69,15,836,0.001,0.18381692469120026
890,13656,0.05,472,-3.6478515100000006,37.28,15,841,0.001,0.013122860342264175
899,13828,0.05,476,-3.1686407300000003,36.69,15,852,0.001,0.20669975876808167
906,13904,0.05,480,-2.90197835,36.14,15,856,0.001,0.2133830189704895
916,14128,0.05,484,-3.1251461099999993,37.3,15,870,0.001,0.07558552175760269
925,14328,0.05,488,-3.43231398,38.33,15,883,0.001,0.07789412140846252
932,14388,0.05,492,-3.6219840899999998,38.86,15,887,0.001,0.06938930600881577
943,14628,0.05,496,-3.89946785,40.02,15,902,0.001,0.12899205088615417
950,14852,0.05,500,-4.06744331,39.99,15,916,0.001,0.18133357167243958
