r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps
-22.654056,60,125.532745,False,True,0.0548032509860019,8.178846848570704,1695
-10.215848,60,127.293455,False,True,0.0425705452748186,31.50539385166656,1755
2.436692,23,127.294463,True,True,0.0119568331387437,9.34036526579862,1778
8.836889,2,129.104364,True,True,0.0014173901017609,1.7821914197765043,1780
-18.893475,60,130.989875,False,True,0.0233810813033815,4.394014915448074,1840
-20.258144,60,133.233053,False,True,0.0047611059496876,32.54010517975017,1900
-15.444224,45,134.677747,True,True,0.0076030431039013,17.70189732080076,1945
5.451322,7,136.904214,True,True,1.4260293987322648e-10,6.46837845987452,1952
7.854723,5,138.320514,True,True,0.0030113894492344,3.832539758438567,1957
-15.525732,60,139.545579,False,True,0.0061951270537656,29.07828941953326,2017
7.048027,3,141.074369,True,True,0.0037936688981153,4.528917592072841,2020
5.741077,3,142.296918,True,True,0.0067750310337699,7.71502772844928,2023
4.585227,10,143.78914,True,True,0.005577022136353,7.462529540055084,2033
-13.849203,60,145.07862,False,True,0.0148166911501604,50.79618099166897,2093
7.072547,3,146.278009,True,True,0.0020712191338952,4.842418765464402,2096
7.719083,5,147.671435,True,True,0.0009292885104963,3.5666654326414005,2101
1.867004,30,149.122863,True,True,3.4379235194796e-05,9.585538939870172,2131
-0.937676,17,150.632683,True,True,0.0021141073076033,15.273690286747708,2148
-12.014986,60,151.952529,False,True,0.0014569664575976,21.62185620249509,2208
6.139607,32,153.11659,True,True,0.0045191262318639,4.262238684471139,2240
5.284841,1,154.315581,True,True,0.0032941460324848,8.3549562741826,2241
6.232105,4,155.652205,True,True,0.0025400239993099,5.546087281172243,2245
5.105058,19,156.939515,True,True,0.0028527163249756,4.334487131031332,2264
7.626794,23,158.62966,True,True,0.0011489584170224,1.8441983149853405,2287
7.808284,3,159.903635,True,True,0.0042402327877885,3.4341238741638853,2290
5.910875,29,161.288473,True,True,0.0053274321871085,1.980082560347052,2319
10.296648,2,162.587537,True,True,1.096392525379297e-09,0.0025673084276893,2321
5.410997,13,164.115605,True,True,0.0003614471177635,5.863185290117617,2334
9.029027,3,165.405549,True,True,0.0015579717928735,1.6478977148832483,2337
6.745787,19,167.075701,True,True,0.0113743392587631,2.971699117718196,2356
-16.247727,60,168.769967,False,True,0.0171623975446578,36.97761581239734,2416
-17.077333,60,170.045096,False,True,0.0201105017550708,8.697710956028539,2476
6.042437,4,171.239219,True,True,0.0089554811031123,6.28884148210277,2480
-2.72903,9,172.70195,True,True,4.552624148935341e-06,17.024906536403858,2489
6.237755,3,174.83562,True,True,0.0018864663565118,6.011071597403628,2492
9.925053,9,176.468222,True,True,6.852825828313619e-06,2.13349481974152,2501
-22.908501,60,178.172178,False,True,0.0355760816148419,9.37126515957594,2561
6.255301,2,179.52614,True,True,0.0053301861826485,6.144082324766743,2563
4.017877,7,180.977995,True,True,0.0058895949142306,8.109134767779816,2570
2.200329,43,182.195513,True,True,0.0060015659112778,6.640185634277086,2613
-16.571324,60,183.422498,False,True,0.0061110346662832,32.45340347518384,2673
-0.239187,7,184.761964,True,True,0.0067320346854934,17.53272329675583,2680
7.000022,4,186.245512,True,True,0.0050198707026697,4.6099421736242805,2684
4.965713,10,187.451642,True,True,0.0049514184993178,8.164915260978374,2694
2.330576,4,188.754765,True,True,0.0050314127051549,11.862421304752235,2698
6.302366,17,190.062535,True,True,0.0040083433516214,4.640419635683689,2715
8.146911,2,191.515001,True,True,0.0055034467223343,3.042924969938004,2717
4.852562,1,193.214157,True,True,0.0040580462249163,9.13637215777683,2718
8.03542,4,194.660125,True,True,0.0058914264982897,2.9215852501529334,2722
-10.180782,60,196.224368,False,True,0.0326238071971506,13.452660534832926,2782
0.529839,8,197.696151,True,True,0.0073409294349758,15.296646717971203,2790
4.160712,6,199.128892,True,True,0.0095571164901742,8.124284793856434,2796
4.118919,12,200.737998,True,True,0.0031052061888902,7.325699266356356,2808
6.612849,1,201.997929,True,True,0.0003565956503933,5.956319224369076,2809
7.883162,1,203.417375,True,True,0.0049897711990425,3.667667102839056,2810
-16.589678,60,204.898143,False,True,0.0014773182424392,24.5201049230043,2870
-13.344681,60,206.269068,False,True,0.0341235711736774,15.674835000106452,2930
9.209556,8,207.791503,True,True,2.8509523908315515e-09,0.2335709713311211,2938
-21.05657,60,209.310682,False,True,0.0013094117760247,34.859056835023885,2998
9.535894,2,210.631369,True,True,0.0068411550722871,0.9815324776387656,3000
2.520895,23,213.297568,True,True,0.0085986547463123,8.105239900265849,3023
3.601644,14,214.595774,True,True,0.0032943012094659,11.23499383900264,3037
8.084135,5,215.971458,True,True,0.0031130678480925,2.69931422922368,3042
6.641006,2,217.318368,True,True,0.0065415434110515,5.39000900225671,3044
2.945842,30,218.531402,True,True,0.0031198462402748,8.284072664777355,3074
8.896718,4,219.842007,True,True,0.0012032405203262,2.218726937700943,3078
-3.074305,24,221.506083,True,True,0.0080917761357506,7.161452695169115,3102
-17.262692,60,222.879526,False,True,0.0018662615950273,31.3036604129846,3162
5.609748,3,224.274549,True,True,0.001627296437527,8.660087865181765,3165
7.55274,24,225.628062,True,True,0.0053404277732004,3.2352452970140293,3189
7.352406,5,227.039324,True,True,0.0007458354716097,4.193116292083441,3194
-0.554446,15,228.403272,True,True,0.002922996356879,14.27087801156956,3209
8.189557,6,229.669749,True,True,0.0037676281939221,2.031674787341522,3215
4.982252,1,229.675569,True,True,0.0062058290747231,8.904061758751034,3216
1.004832,7,231.702276,True,True,0.0023907250458214,14.256363813875485,3223
5.473199,9,233.264732,True,True,0.0028086250519607,7.00623065940905,3232
3.948081,1,234.54591,True,True,0.0056607128840793,10.769092684881269,3233
4.439475,25,236.079468,True,True,0.0030418377935141,6.753507336596417,3258
-31.190057,60,237.559726,False,True,0.0340341087773853,10.427532295415544,3318
0.941549,4,238.963531,True,True,0.006256521101854,15.367418468887507,3322
-15.524965,60,240.798207,False,True,0.002938538161294,44.74740347401751,3382
-23.55272,60,242.7863,False,True,0.0369750785981013,21.779900961896267,3442
7.083424,1,244.077655,True,True,0.0013105305169938,5.107120629979196,3443
8.955414,4,245.37841,True,True,0.0004824298230303,1.3146734815684598,3447
-16.374826,60,247.557203,False,True,0.01341216080182,16.486971552879655,3507
4.846806,2,248.747866,True,True,0.006574213848287,8.961956750668914,3509
-21.660169,60,250.365848,False,True,0.0303025019904359,10.910045946447015,3569
7.584957,1,251.435706,True,True,2.3855109655576273e-10,4.200688188453413,3570
2.011795,14,253.175632,True,True,0.0071115239428947,11.95878043310724,3584
4.570532,31,254.456615,True,True,0.0098094902062804,5.00353502551795,3615
-13.152009,60,255.764107,False,True,0.0291553341951759,19.83781029930999,3675
2.15929,6,257.067098,True,True,0.00798225792109,13.50769536587712,3681
0.135118,1,258.293954,True,True,0.0003789888650406,17.6411827179796,3682
3.600552,11,259.746155,True,True,0.0106600502848773,9.17820371527823,3693
8.147746,9,261.365067,True,True,0.0073810677889633,1.7046923504359863,3702
4.741123,13,263.015761,True,True,0.0049283999357389,7.620792989251901,3715
-13.305331,60,264.309992,False,True,0.0264583624288829,38.33898482907405,3775
3.376978,12,265.884029,True,True,0.0119470189712006,11.034835151382152,3787
6.157227,12,267.621091,True,True,0.0096457297235752,3.6275014413991458,3799
6.99547,4,268.960154,True,True,0.002264658111088,4.308296118557298,3803
-17.133774,60,270.244133,False,True,0.01876571193483,16.667637571099178,3863
-15.556784,60,271.662051,False,True,0.0418143379896798,18.71026156167888,3923
7.270345,7,272.987271,True,True,0.0016434585223618,3.090496186592825,3930
5.130354,8,274.344104,True,True,0.0050931729182917,7.891827576594648,3938
1.810787,16,276.064284,True,True,1.249984972546652e-10,12.009558745112106,3954
-10.290826,60,277.674763,False,True,0.012603377581097,48.7103910175506,4014
3.123869,12,278.840144,True,True,0.000407841989302,10.127825311777382,4026
0.77566,11,281.230528,True,True,0.0056538004234343,14.727647979198236,4037
-4.038758,10,282.432581,True,True,0.0095447823702164,15.668492906494752,4047
5.122592,1,283.827164,True,True,0.0060221904322947,8.650747056567768,4048
2.161889,1,285.067718,True,True,0.0033394650881351,13.98875446632985,4049
6.777053,3,286.385167,True,True,0.0023592280032749,4.878484224052873,4052
-2.131911,12,287.801996,True,True,0.007796118531854,13.227834343587547,4064
5.350943,2,289.125548,True,True,0.0053401362424969,8.122323264143859,4066
-5.255373,59,290.531636,True,True,0.0033743434574196,16.674963269231405,4125
6.960061,17,291.873232,True,True,0.0081869647334824,3.024069886321024,4142
4.052095,3,291.88304,True,True,0.0003454288468094,10.340710898050803,4145
-21.587086,60,293.667149,False,True,0.0411696011063076,21.03277873646664,4205
0.193812,15,295.09534,True,True,0.007470718519555,16.036801873343045,4220
1.912103,7,296.331814,True,True,0.00818136031123,13.321444053295084,4227
3.092451,12,297.878802,True,True,0.0041543434638476,10.355285764586808,4239
8.61028,2,299.26033,True,True,0.0020182699381696,2.2124524547021145,4241
5.524186,11,300.757854,True,True,0.0001664970174829,5.567907664208026,4252
-6.534881,16,302.083292,True,True,0.0091711229042128,16.76738289251077,4268
2.015255,4,303.468923,True,True,4.8273583287406375e-05,14.68048227224472,4272
4.085738,5,303.477447,True,True,0.0028667769867092,9.5363817942881,4277
3.672125,17,305.442132,True,True,0.0076851194104002,5.941174277246685,4294
6.313391,25,306.622368,True,True,0.0093882754575174,3.235079744575866,4319
4.12384,11,307.855701,True,True,0.0101384003359565,7.986020961845375,4330
7.431109,11,307.855701,True,True,6.268479287790733e-10,2.111091215878837,4341
-1.53411,7,309.854349,True,True,0.0021436023421975,17.774411148462256,4348
5.721719,7,311.151197,True,True,0.0005864385217735,6.923951655433562,4355
3.148949,9,312.402986,True,True,0.0048322010407771,10.30890774449973,4364
0.883832,5,313.799657,True,True,0.0053880847488631,13.107860895538767,4369
0.962094,1,315.09106,True,True,0.0052530511300714,16.152903245114427,4370
6.343966,1,316.264905,True,True,0.0018170900471529,6.443134672608913,4371
7.291026,12,317.609332,True,True,0.0028751303417453,2.429539845094733,4383
-0.131951,8,319.083668,True,True,0.0032221926087563,16.435391283401188,4391
6.697248,6,320.35649,True,True,0.0112730066622344,2.593785370545463,4397
-6.782252,31,321.689903,True,True,0.0091247324954919,17.49023700240168,4428
-1.661218,9,322.968945,True,True,0.0033106710058742,12.493643593588304,4437
1.592055,8,324.385884,True,True,0.0052458710025235,14.58731890853304,4445
6.505809,10,325.897137,True,True,0.0028340959458541,4.124810805052046,4455
6.390633,2,327.15733,True,True,0.0006161426261196,5.751574128456321,4457
6.607025,10,328.328366,True,True,0.0088080173224798,3.65720080755196,4467
1.034831,4,329.577842,True,True,0.0066787257114453,14.645899113330104,4471
3.875092,28,330.873996,True,True,0.0053832435102342,4.885633598323952,4499
5.44666,5,332.116999,True,True,0.0038175967107104,7.5430195114261345,4504
9.254795,3,332.125809,True,True,0.0007306196834081,2.5557600096890094,4507
9.1711,1,332.127804,True,True,1.4772862847968124e-06,1.33465362533218,4508
7.50643,4,334.047692,True,True,0.0060619519753034,3.7523836142761,4512
6.697891,5,335.297429,True,True,0.0030385399839217,5.203129867726088,4517
7.606046,2,336.591899,True,True,0.0017745249922673,4.113866232283031,4519
2.267917,2,337.967385,True,True,0.0062166335793638,13.372300809362828,4521
0.341053,11,339.275831,True,True,0.0034267467049305,15.553239015266067,4532
-16.950116,60,340.575206,False,True,0.0290715248598352,4.930884235591407,4592
9.668337,4,340.576205,True,True,0.0023849982034051,0.4690367065315028,4596
8.007116,2,343.371296,True,True,0.0034932136606967,4.162580723637936,4598
5.90789,9,343.37191,True,True,0.0002520919707804,5.788380150429304,4607
7.435246,4,345.300193,True,True,0.0001322118956893,4.316791737829698,4611
7.800951,4,345.303186,True,True,0.0026564881693067,3.7275290716145806,4615
5.909039,8,347.042498,True,True,0.0056492556262306,5.263003186113316,4623
0.203515,4,348.430607,True,True,0.0001596744226815,16.891312650231523,4627
2.252589,5,349.686425,True,True,0.0009150613887883,14.296601314337392,4632
7.848722,4,351.121547,True,True,0.0078258300641315,2.7539567482513347,4636
4.563579,24,353.294865,True,True,0.0054588346262477,6.3536482503296,4660
-5.98378,32,354.752446,True,True,0.0026161944145269,15.231925081987722,4692
7.132197,7,356.044581,True,True,1.936193249725573e-11,4.725566658435557,4699
0.417028,11,358.438473,True,True,1.4492115284090931e-05,8.69767152338126,4710
-16.722996,60,359.985216,False,True,0.0207817682962506,21.615773064877068,4770
7.280793,7,361.436953,True,True,0.0052441315103493,3.2766086761983693,4777
8.249197,1,362.654064,True,True,0.0075018795942759,3.009429808457578,4778
-15.076279,60,364.039487,False,True,0.0373159390646126,10.17986752697363,4838
7.702489,6,364.045491,True,True,0.0020930907404792,2.6982074989523026,4844
4.273569,23,365.795075,True,True,0.0110443855482101,4.570189733438027,4867
6.061829,6,367.216839,True,True,0.0078389945550661,5.908778256839411,4873
4.462994,6,368.498941,True,True,0.0076459661336278,8.693604070640193,4879
6.54591,4,369.960933,True,True,0.0110852768106955,2.860950988988255,4883
8.394195,2,371.319664,True,True,0.0083022229177569,2.31332700362932,4885
-3.783947,21,372.988748,True,True,0.0018123283051988,7.583949819602673,4906
0.634381,24,374.347297,True,True,0.0092710184873146,4.17377051735407,4930
-1.137764,22,375.708389,True,True,0.0053285952467934,16.546502149507315,4952
6.909069,5,375.710378,True,True,0.0083137479681982,4.677635445835534,4957
8.24952,1,377.585129,True,True,8.659868632300068e-10,2.999804814064794,4958
9.28483,6,378.866283,True,True,0.0060266707540952,1.6898405625010164,4964
5.101178,4,378.871278,True,True,0.0088262392920435,7.853716172301264,4968
6.289673,5,380.707291,True,True,0.0050566017014746,8.325326558365694,4973
8.439234,7,382.159836,True,True,1.928180711733206e-10,1.246599245901373,4980
-0.474441,21,383.655682,True,True,0.0042108806426248,9.27492286456216,5001
4.0086,11,385.034534,True,True,0.0039066342415501,6.766036089563853,5012
5.819138,4,386.36437,True,True,0.0001840361702454,7.14992874968175,5016
2.660405,4,387.77607,True,True,0.0021361136925069,12.807590875771552,5020
9.070675,3,389.201703,True,True,0.0084607520118495,1.4469765962504058,5023
9.02762,1,390.466302,True,True,2.1364050897367708e-05,1.5946908462010287,5024
