rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/loss,train/clip_range,train/explained_variance
60.0,99840,195,-6.33080737,63,1560,-2.0144991666078567,0.1734375,-0.01944202771410346,0.0003,0.012178895,1940,0.017567280429648235,-0.12456542253494263,0.2,0.8649673610925674
60.0,100352,196,-6.34094466,63,1568,-2.0199734210968017,0.08359375,-0.016780850890791045,0.0003,0.011802451,1950,0.026575763756409288,-0.12308866530656815,0.2,0.6946419775485992
60.0,100864,197,-6.3913338200000025,63,1576,-2.085967445373535,0.1919921875,-0.019355820392956958,0.0003,0.014470071,1960,0.02590317407157272,-0.1307344138622284,0.2,0.7036255300045013
60.0,101376,198,-6.43238422,64,1583,-2.104658618569374,0.20703125,-0.024697140662465245,0.0003,0.015717978,1970,0.08088263769168406,-0.09953725337982178,0.2,0.6122420728206635
60.0,101888,199,-6.433942559999999,64,1591,-2.151357427239418,0.1611328125,-0.02240419086883776,0.0003,0.014939437,1980,0.008318827112088912,-0.15459731221199036,0.2,0.9276920929551125
60.0,102400,200,-6.517479200000001,64,1599,-2.0892102897167204,0.128515625,-0.02320071648573503,0.0003,0.012528738,1990,0.09682499091140925,-0.11531950533390045,0.2,0.5512817203998566
60.0,102912,201,-6.537943819999999,64,1607,-2.138989558815956,0.153515625,-0.016475765418726952,0.0003,0.01164712,2000,0.09406727047171444,-0.07866356521844864,0.2,0.7222268283367157
60.0,103424,202,-6.58254029,64,1615,-2.118569019436836,0.1529296875,-0.024079601845005526,0.0003,0.012338159,2010,0.016915688035078348,-0.15487927198410034,0.2,0.8302479088306427
60.0,103936,203,-6.60214838,64,1623,-2.1506466597318648,0.0384765625,-0.0097999602323398,0.0003,0.010257848,2020,0.016230916290078314,-0.11776648461818695,0.2,0.8376865684986115
60.0,104448,204,-6.597579040000002,64,1631,-2.0974182009696962,0.15,-0.022360553964972496,0.0003,0.013783626,2030,0.059051884128712116,-0.12354817986488342,0.2,0.7559615522623062
